innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Delhi Daredevils,A Mishra,4.0,0,23,1,5.75,9,1,0
1,Delhi Daredevils,CH Morris,4.0,0,36,0,9.0,7,0,0
1,Delhi Daredevils,J Yadav,4.0,0,26,0,6.5,11,0,0
1,Delhi Daredevils,K Rabada,4.0,0,59,0,14.75,4,0,1
1,Delhi Daredevils,Mohammed Shami,4.0,0,36,2,9.0,7,1,0
2,Sunrisers Hyderabad,B Kumar,4.0,0,33,1,8.25,9,0,0
2,Sunrisers Hyderabad,MC Henriques,2.1,0,36,0,16.62,1,1,0
2,Sunrisers Hyderabad,Mohammed Siraj,4.0,0,41,2,10.25,7,0,0
2,Sunrisers Hyderabad,Rashid Khan,4.0,0,24,0,6.0,7,0,0
2,Sunrisers Hyderabad,S Kaul,4.0,0,38,1,9.5,7,1,0
2,Sunrisers Hyderabad,Yuvraj Singh,1.0,0,16,0,16.0,0,0,0
