innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Kolkata Knight Riders,1,SP Narine,0,6,G Gambhir,0,0,0,6
1,Kolkata Knight Riders,2,G Gambhir,4,9,SP Jackson,10,9,19,18
1,Kolkata Knight Riders,3,G Gambhir,20,10,MK Pandey,1,1,21,11
1,Kolkata Knight Riders,4,MK Pandey,11,11,YK Pathan,4,9,15,20
1,Kolkata Knight Riders,5,C de Grandhomme,23,10,MK Pandey,25,20,48,30
1,Kolkata Knight Riders,6,C de Grandhomme,13,9,SA Yadav,3,4,16,13
1,Kolkata Knight Riders,7,SA Yadav,9,5,CR Woakes,1,3,10,8
1,Kolkata Knight Riders,8,SA Yadav,17,6,NM Coulter-Nile,6,5,23,11
1,Kolkata Knight Riders,9,UT Yadav,2,2,SA Yadav,1,1,3,3
2,Rising Pune Supergiant,1,AM Rahane,11,9,RA Tripathi,0,1,11,10
2,Rising Pune Supergiant,2,SPD Smith,9,9,RA Tripathi,33,11,48,20
2,Rising Pune Supergiant,3,RA Tripathi,20,11,MK Tiwary,8,9,29,20
2,Rising Pune Supergiant,4,BA Stokes,14,15,RA Tripathi,29,16,43,31
2,Rising Pune Supergiant,5,RA Tripathi,3,7,MS Dhoni,5,9,8,16
2,Rising Pune Supergiant,6,DT Christian,3,9,RA Tripathi,8,6,11,15
2,Rising Pune Supergiant,7,Washington Sundar,1,3,DT Christian,6,1,8,4
