innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Kings XI Punjab,HM Amla,1,3,0,0,33.33,c KM Jadhav b A Choudhary,1
1,Kings XI Punjab,MJ Guptill,9,10,1,0,90.0,c P Negi b S Aravind,2
1,Kings XI Punjab,SE Marsh,20,17,3,0,117.65,c Mandeep Singh b P Negi,3
1,Kings XI Punjab,M Vohra,25,28,1,1,89.29,c AB de Villiers b YS Chahal,4
1,Kings XI Punjab,WP Saha,21,25,1,0,84.0,b SR Watson,5
1,Kings XI Punjab,GJ Maxwell,6,11,1,0,54.55,c S Badree b YS Chahal,6
1,Kings XI Punjab,AR Patel,38,17,3,2,223.53,not out,7
1,Kings XI Punjab,MM Sharma,6,4,1,0,150.0,c KM Jadhav b A Choudhary,8
1,Kings XI Punjab,VR Aaron,0,5,0,0,0.0,not out,9
2,Royal Challengers Bangalore,Mandeep Singh,46,40,5,2,115.0,b GJ Maxwell,1
2,Royal Challengers Bangalore,CH Gayle,0,2,0,0,0.0,c MJ Guptill b Sandeep Sharma,2
2,Royal Challengers Bangalore,V Kohli,6,6,1,0,100.0,b Sandeep Sharma,3
2,Royal Challengers Bangalore,AB de Villiers,10,6,1,1,166.67,c WP Saha b Sandeep Sharma,4
2,Royal Challengers Bangalore,KM Jadhav,6,6,1,0,100.0,c AR Patel b MM Sharma,5
2,Royal Challengers Bangalore,SR Watson,3,6,0,0,50.0,c WP Saha b AR Patel,6
2,Royal Challengers Bangalore,P Negi,21,23,2,0,91.3,c WP Saha b AR Patel,7
2,Royal Challengers Bangalore,S Aravind,4,6,0,0,66.67,lbw b GJ Maxwell,8
2,Royal Challengers Bangalore,S Badree,8,9,0,0,88.89,b AR Patel,9
2,Royal Challengers Bangalore,A Choudhary,4,6,0,0,66.67,c MJ Guptill b MM Sharma,10
2,Royal Challengers Bangalore,YS Chahal,4,4,0,0,100.0,not out,11
