innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Delhi Daredevils,1,1,SV Samson,JD Unadkat,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,1,2,SV Samson,JD Unadkat,KK Nair,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,1,3,KK Nair,JD Unadkat,SV Samson,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,1,4,SV Samson,JD Unadkat,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,1,5,SV Samson,JD Unadkat,KK Nair,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,1,6,KK Nair,JD Unadkat,SV Samson,0,0,0,,0,0,0,0,0,True,run out,SV Samson,BA Stokes,powerplay
1,Delhi Daredevils,2,1,KK Nair,SN Thakur,SS Iyer,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,2,KK Nair,SN Thakur,SS Iyer,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,3,SS Iyer,SN Thakur,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,4,SS Iyer,SN Thakur,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,5,SS Iyer,SN Thakur,KK Nair,3,0,3,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,2,6,KK Nair,SN Thakur,SS Iyer,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,1,SS Iyer,JD Unadkat,KK Nair,0,0,0,,0,0,0,0,0,True,caught,SS Iyer,MS Dhoni,powerplay
1,Delhi Daredevils,3,2,RR Pant,JD Unadkat,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,3,RR Pant,JD Unadkat,KK Nair,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,4,KK Nair,JD Unadkat,RR Pant,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,5,RR Pant,JD Unadkat,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,3,6,RR Pant,JD Unadkat,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,1,KK Nair,Washington Sundar,RR Pant,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,2,KK Nair,Washington Sundar,RR Pant,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,3,KK Nair,Washington Sundar,RR Pant,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,4,KK Nair,Washington Sundar,RR Pant,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,5,RR Pant,Washington Sundar,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,4,6,RR Pant,Washington Sundar,KK Nair,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,1,KK Nair,BA Stokes,RR Pant,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,2,KK Nair,BA Stokes,RR Pant,0,1,1,legbyes,0,0,0,1,0,False,,,,powerplay
1,Delhi Daredevils,5,3,RR Pant,BA Stokes,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,4,RR Pant,BA Stokes,KK Nair,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,5,KK Nair,BA Stokes,RR Pant,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,5,6,KK Nair,BA Stokes,RR Pant,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,1,RR Pant,SN Thakur,KK Nair,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,2,RR Pant,SN Thakur,KK Nair,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,3,RR Pant,SN Thakur,KK Nair,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,4,KK Nair,SN Thakur,RR Pant,0,1,1,legbyes,0,0,0,1,0,False,,,,powerplay
1,Delhi Daredevils,6,5,RR Pant,SN Thakur,KK Nair,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,6,6,RR Pant,SN Thakur,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Daredevils,7,1,KK Nair,A Zampa,RR Pant,0,0,0,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,7,2,KK Nair,A Zampa,RR Pant,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,7,3,RR Pant,A Zampa,KK Nair,2,0,2,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,7,4,RR Pant,A Zampa,KK Nair,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,7,5,KK Nair,A Zampa,RR Pant,4,0,4,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,7,6,KK Nair,A Zampa,RR Pant,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,1,KK Nair,DT Christian,RR Pant,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,2,RR Pant,DT Christian,KK Nair,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,3,KK Nair,DT Christian,RR Pant,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,4,RR Pant,DT Christian,KK Nair,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,5,KK Nair,DT Christian,RR Pant,4,0,4,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,8,6,KK Nair,DT Christian,RR Pant,2,0,2,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,9,1,RR Pant,A Zampa,KK Nair,4,0,4,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,9,2,RR Pant,A Zampa,KK Nair,0,0,0,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,9,3,RR Pant,A Zampa,KK Nair,0,0,0,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,9,4,RR Pant,A Zampa,KK Nair,6,0,6,,0,0,0,0,0,False,,,,middle
1,Delhi Daredevils,9,5,RR Pant,A Zampa,KK Nair,0,0,0,,0,0,0,0,0,True,caught,RR Pant,DT Christian,middle
