match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2017-04-06,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,35,15,1,4,233.33,not out,8
7,2017-04-09,Kolkata Knight Riders,Wankhede Stadium,29,11,3,2,263.64,not out,7
10,2017-04-12,Sunrisers Hyderabad,Wankhede Stadium,2,3,0,0,66.67,not out,7
12,2017-04-14,Royal Challengers Bangalore,M Chinnaswamy Stadium,9,4,0,1,225.0,not out,8
16,2017-04-16,Gujarat Lions,Wankhede Stadium,6,3,1,0,200.0,not out,6
22,2017-04-20,Kings XI Punjab,Holkar Cricket Stadium,15,4,2,1,375.0,not out,4
25,2017-04-22,Delhi Daredevils,Wankhede Stadium,24,23,0,2,104.35,"run out (KK Nair, RR Pant)",7
28,2017-04-24,Rising Pune Supergiant,Wankhede Stadium,13,11,2,0,118.18,c BA Stokes b JD Unadkat,7
35,2017-04-29,Gujarat Lions,Saurashtra Cricket Association Stadium,4,5,0,0,80.0,c Ishan Kishan b Basil Thampi,7
38,2017-05-01,Royal Challengers Bangalore,Wankhede Stadium,14,9,0,1,155.56,not out,8
45,2017-05-06,Delhi Daredevils,Feroz Shah Kotla,29,14,1,3,207.14,not out,5
48,2017-05-08,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",15,24,0,0,62.5,c MC Henriques b Rashid Khan,5
51,2017-05-11,Kings XI Punjab,Wankhede Stadium,30,13,0,4,230.77,c WP Saha b Sandeep Sharma,6
54,2017-05-13,Kolkata Knight Riders,Eden Gardens,1,2,0,0,50.0,not out,6
57,2017-05-16,Rising Pune Supergiant,Wankhede Stadium,14,10,1,1,140.0,c DT Christian b LH Ferguson,6
60,2017-05-21,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",10,9,0,1,111.11,lbw b DT Christian,7
