match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2017-04-08,Rising Pune Supergiant,Holkar Cricket Stadium,28,27,2,1,103.7,c BA Stokes b RD Chahar,1
8,2017-04-10,Royal Challengers Bangalore,Holkar Cricket Stadium,58,38,4,3,152.63,not out,2
11,2017-04-13,Kolkata Knight Riders,Eden Gardens,25,27,4,0,92.59,c G Gambhir b C de Grandhomme,1
15,2017-04-15,Delhi Daredevils,Feroz Shah Kotla,19,12,4,0,158.33,c SW Billings b CH Morris,2
19,2017-04-17,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,1,0,0,0.0,lbw b B Kumar,1
22,2017-04-20,Mumbai Indians,Holkar Cricket Stadium,104,60,8,6,173.33,not out,1
26,2017-04-23,Gujarat Lions,Saurashtra Cricket Association Stadium,65,40,9,2,162.5,c & b SS Agarwal,2
36,2017-04-30,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",16,20,1,0,80.0,not out,2
43,2017-05-05,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,3,0,0,33.33,c KM Jadhav b A Choudhary,1
47,2017-05-07,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",104,60,8,5,173.33,lbw b Basil Thampi,2
