match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
17,2017-04-16,Royal Challengers Bangalore,M Chinnaswamy Stadium,4.0,0,25,2,6.25,12,1,0
24,2017-04-22,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,4.0,0,41,1,10.25,6,0,0
28,2017-04-24,Mumbai Indians,Wankhede Stadium,4.0,0,40,2,10.0,7,1,0
30,2017-04-26,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,3.0,0,26,1,8.67,5,1,0
34,2017-04-29,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,4.0,0,19,1,4.75,10,1,0
39,2017-05-01,Gujarat Lions,Maharashtra Cricket Association Stadium,3.5,0,29,3,7.57,8,0,0
41,2017-05-03,Kolkata Knight Riders,Eden Gardens,4.0,1,28,2,7.0,15,0,0
44,2017-05-06,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4.0,1,30,5,7.5,12,0,0
52,2017-05-12,Delhi Daredevils,Feroz Shah Kotla,4.0,0,29,2,7.25,10,0,0
55,2017-05-14,Kings XI Punjab,Maharashtra Cricket Association Stadium,3.0,1,12,2,4.0,14,0,0
57,2017-05-16,Mumbai Indians,Wankhede Stadium,4.0,0,24,1,6.0,10,0,0
60,2017-05-21,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",4.0,0,19,2,4.75,10,0,0
