match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2017-04-07,Gujarat Lions,Saurashtra Cricket Association Stadium,4.0,0,33,0,8.25,7,0,0
7,2017-04-09,Mumbai Indians,Wankhede Stadium,4.0,0,22,1,5.5,12,0,0
11,2017-04-13,Kings XI Punjab,Eden Gardens,4.0,0,19,1,4.75,14,3,0
14,2017-04-15,Sunrisers Hyderabad,Eden Gardens,4.0,0,18,1,4.5,10,0,0
18,2017-04-17,Delhi Daredevils,Feroz Shah Kotla,4.0,0,20,1,5.0,8,1,0
23,2017-04-21,Gujarat Lions,Eden Gardens,4.0,0,42,0,10.5,7,0,0
30,2017-04-26,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,4.0,0,34,1,8.5,6,1,0
32,2017-04-28,Delhi Daredevils,Eden Gardens,4.0,0,25,1,6.25,8,1,0
37,2017-04-30,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",3.0,0,37,0,12.33,2,1,0
41,2017-05-03,Rising Pune Supergiant,Eden Gardens,4.0,0,28,1,7.0,9,0,0
46,2017-05-07,Royal Challengers Bangalore,M Chinnaswamy Stadium,4.0,0,29,2,7.25,8,0,0
49,2017-05-09,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",4.0,0,27,1,6.75,8,0,0
54,2017-05-13,Mumbai Indians,Eden Gardens,4.0,0,37,0,9.25,8,1,0
58,2017-05-17,Sunrisers Hyderabad,M Chinnaswamy Stadium,4.0,0,20,0,5.0,13,0,0
59,2017-05-19,Mumbai Indians,M Chinnaswamy Stadium,4.0,0,21,0,5.25,13,0,0
