match_number,date,opponent,venue,result,margin
5,2017-04-08,Royal Challengers Bangalore,M.Chinnaswamy Stadium,lost,by 15 runs
9,2017-04-11,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,won,by 97 runs
15,2017-04-15,Kings XI Punjab,Feroz Shah Kotla,won,by 51 runs
18,2017-04-17,Kolkata Knight Riders,Feroz Shah Kotla,lost,by 4 wickets
21,2017-04-19,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 15 runs
25,2017-04-22,Mumbai Indians,Wankhede Stadium,lost,by 14 runs
32,2017-04-28,Kolkata Knight Riders,Eden Gardens,lost,by 7 wickets
36,2017-04-30,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",lost,by 10 wickets
40,2017-05-02,Sunrisers Hyderabad,Feroz Shah Kotla,won,by 6 wickets
42,2017-05-04,Gujarat Lions,Feroz Shah Kotla,won,by 7 wickets
45,2017-05-06,Mumbai Indians,Feroz Shah Kotla,lost,by 146 runs
50,2017-05-10,Gujarat Lions,Green Park,won,by 2 wickets
52,2017-05-12,Rising Pune Supergiant,Feroz Shah Kotla,won,by 7 runs
56,2017-05-14,Royal Challengers Bangalore,Feroz Shah Kotla,lost,by 10 runs
