innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bangalore,1,Q de Kock,18,2.4
1,Royal Challengers Bangalore,2,BB McCullum,63,9.2
1,Royal Challengers Bangalore,3,AB de Villiers,127,15.2
1,Royal Challengers Bangalore,4,V Kohli,127,15.3
1,Royal Challengers Bangalore,5,SN Khan,154,19.1
1,Royal Challengers Bangalore,6,Mandeep Singh,176,20.5
1,Royal Challengers Bangalore,7,CR Woakes,176,20.6
2,Kolkata Knight Riders,1,CA Lynn,16,2.5
2,Kolkata Knight Riders,2,SP Narine,65,6.2
2,Kolkata Knight Riders,3,RV Uthappa,83,8.3
2,Kolkata Knight Riders,4,N Rana,138,15.3
2,Kolkata Knight Riders,5,RK Singh,146,16.4
2,Kolkata Knight Riders,6,AD Russell,164,18.4
