innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Mumbai Indians,SA Yadav,72,47,6,3,153.19,c JC Buttler b JD Unadkat,1
1,Mumbai Indians,E Lewis,0,1,0,0,0.0,b DS Kulkarni,2
1,Mumbai Indians,Ishan Kishan,58,42,4,3,138.1,c JC Buttler b DS Kulkarni,3
1,Mumbai Indians,KA Pollard,21,20,1,1,105.0,not out,4
1,Mumbai Indians,RG Sharma,0,1,0,0,0.0,run out (),5
1,Mumbai Indians,KH Pandya,7,6,1,0,116.67,c H Klaasen b JC Archer,6
1,Mumbai Indians,HH Pandya,4,2,1,0,200.0,b JC Archer,7
1,Mumbai Indians,MJ McClenaghan,0,1,0,0,0.0,b JC Archer,8
1,Mumbai Indians,M Markande,0,1,0,0,0.0,not out,9
2,Rajasthan Royals,AM Rahane,14,17,1,0,82.35,c KH Pandya b MJ McClenaghan,1
2,Rajasthan Royals,RA Tripathi,9,8,1,0,112.5,c SA Yadav b KH Pandya,2
2,Rajasthan Royals,SV Samson,52,39,4,0,133.33,c HH Pandya b JJ Bumrah,3
2,Rajasthan Royals,BA Stokes,40,27,3,1,148.15,b HH Pandya,4
2,Rajasthan Royals,JC Buttler,6,8,0,0,75.0,b JJ Bumrah,5
2,Rajasthan Royals,H Klaasen,0,1,0,0,0.0,c Ishan Kishan b Mustafizur Rahman,6
2,Rajasthan Royals,JC Archer,8,9,1,0,88.89,c & b HH Pandya,7
2,Rajasthan Royals,K Gowtham,33,11,4,2,300.0,not out,8
