innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Royal Challengers Bangalore,M Vohra,45,31,2,4,145.16,lbw b M Markande,1
1,Royal Challengers Bangalore,Q de Kock,7,13,1,0,53.85,c RG Sharma b MJ McClenaghan,2
1,Royal Challengers Bangalore,BB McCullum,37,25,4,2,148.0,run out (),3
1,Royal Challengers Bangalore,V Kohli,32,26,2,1,123.08,c KA Pollard b HH Pandya,4
1,Royal Challengers Bangalore,Mandeep Singh,14,10,1,1,140.0,c SA Yadav b HH Pandya,5
1,Royal Challengers Bangalore,C de Grandhomme,23,10,0,3,230.0,not out,6
1,Royal Challengers Bangalore,Washington Sundar,1,3,0,0,33.33,c RG Sharma b HH Pandya,7
1,Royal Challengers Bangalore,TG Southee,1,2,0,0,50.0,c BCJ Cutting b JJ Bumrah,8
1,Royal Challengers Bangalore,UT Yadav,1,2,0,0,50.0,not out,9
2,Mumbai Indians,SA Yadav,9,9,2,0,100.0,lbw b UT Yadav,1
2,Mumbai Indians,Ishan Kishan,0,1,0,0,0.0,b TG Southee,2
2,Mumbai Indians,JP Duminy,23,29,3,0,79.31,run out (),3
2,Mumbai Indians,RG Sharma,0,1,0,0,0.0,c Q de Kock b UT Yadav,4
2,Mumbai Indians,KA Pollard,13,13,1,0,100.0,c Q de Kock b Mohammed Siraj,5
2,Mumbai Indians,HH Pandya,50,42,5,1,119.05,c V Kohli b TG Southee,6
2,Mumbai Indians,KH Pandya,23,19,1,1,121.05,c Mandeep Singh b Mohammed Siraj,7
2,Mumbai Indians,BCJ Cutting,12,6,1,1,200.0,not out,8
