innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Rajasthan Royals,JC Buttler,51,39,7,0,130.77,c KL Rahul b Mujeeb Ur Rahman,1
1,Rajasthan Royals,DJM Short,2,2,0,0,100.0,c AJ Tye b R Ashwin,2
1,Rajasthan Royals,AM Rahane,5,7,0,0,71.43,c CH Gayle b AR Patel,3
1,Rajasthan Royals,SV Samson,28,23,2,1,121.74,c KK Nair b AJ Tye,4
1,Rajasthan Royals,BA Stokes,12,9,2,0,133.33,c MK Tiwary b Mujeeb Ur Rahman,5
1,Rajasthan Royals,RA Tripathi,11,13,1,0,84.62,c R Ashwin b AJ Tye,6
1,Rajasthan Royals,JC Archer,0,1,0,0,0.0,b Mujeeb Ur Rahman,7
1,Rajasthan Royals,K Gowtham,5,3,1,0,166.67,c MP Stoinis b AS Rajpoot,8
1,Rajasthan Royals,S Gopal,24,16,3,0,150.0,run out (),9
1,Rajasthan Royals,JD Unadkat,6,7,0,0,85.71,not out,10
2,Kings XI Punjab,KL Rahul,84,54,7,3,155.56,not out,1
2,Kings XI Punjab,CH Gayle,8,11,2,0,72.73,c SV Samson b JC Archer,2
2,Kings XI Punjab,MA Agarwal,2,3,0,0,66.67,c RA Tripathi b BA Stokes,3
2,Kings XI Punjab,KK Nair,31,23,2,2,134.78,b Anureet Singh,4
2,Kings XI Punjab,AR Patel,4,5,0,0,80.0,c DJM Short b K Gowtham,5
2,Kings XI Punjab,MP Stoinis,23,16,2,1,143.75,not out,6
