innings,team,wicket_number,player_out,score,over
1,Sunrisers Hyderabad,1,AD Hales,15,3.3
1,Sunrisers Hyderabad,2,S Dhawan,38,6.5
1,Sunrisers Hyderabad,3,MK Pandey,48,9.2
1,Sunrisers Hyderabad,4,KS Williamson,112,16.6
1,Sunrisers Hyderabad,5,Shakib Al Hasan,124,18.2
1,Sunrisers Hyderabad,6,YK Pathan,134,19.1
1,Sunrisers Hyderabad,7,WP Saha,143,19.6
1,Sunrisers Hyderabad,8,Rashid Khan,144,20.2
1,Sunrisers Hyderabad,9,S Kaul,146,20.5
1,Sunrisers Hyderabad,10,Sandeep Sharma,146,20.6
2,Royal Challengers Bangalore,1,PA Patel,24,3.5
2,Royal Challengers Bangalore,2,M Vohra,60,8.1
2,Royal Challengers Bangalore,3,V Kohli,74,10.5
2,Royal Challengers Bangalore,4,AB de Villiers,80,11.4
2,Royal Challengers Bangalore,5,MM Ali,84,12.4
2,Royal Challengers Bangalore,6,C de Grandhomme,141,20.6
