innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Royal Challengers Bangalore,C de Grandhomme,1.0,0,12,0,12.0,0,0,0
1,Royal Challengers Bangalore,MM Ali,4.0,0,25,1,6.25,9,2,0
1,Royal Challengers Bangalore,Mohammed Siraj,4.0,0,46,1,11.5,7,0,0
1,Royal Challengers Bangalore,TG Southee,4.0,0,41,0,10.25,7,2,1
1,Royal Challengers Bangalore,UT Yadav,3.0,0,28,0,9.33,7,1,0
1,Royal Challengers Bangalore,YS Chahal,4.0,0,28,2,7.0,9,0,0
2,Delhi Daredevils,A Mishra,4.0,0,33,1,8.25,7,1,0
2,Delhi Daredevils,CJ Dala,3.0,0,34,0,11.33,7,1,0
2,Delhi Daredevils,HV Patel,4.0,0,51,1,12.75,8,3,0
2,Delhi Daredevils,S Lamichhane,4.0,0,25,1,6.25,9,0,0
2,Delhi Daredevils,TA Boult,4.0,0,40,2,10.0,5,0,0
