innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Rajasthan Royals,B Laughlin,3.0,0,35,2,11.67,5,2,0
1,Rajasthan Royals,IS Sodhi,4.0,0,15,0,3.75,11,0,0
1,Rajasthan Royals,JC Archer,4.0,0,33,2,8.25,12,3,1
1,Rajasthan Royals,JD Unadkat,2.0,0,33,0,16.5,1,0,0
1,Rajasthan Royals,K Gowtham,3.0,0,15,2,5.0,9,0,0
1,Rajasthan Royals,S Gopal,4.0,0,34,1,8.5,8,0,0
2,Kolkata Knight Riders,AD Russell,3.0,0,22,0,7.33,5,0,0
2,Kolkata Knight Riders,JPR Scantlebury-Searles,1.0,0,13,0,13.0,1,0,0
2,Kolkata Knight Riders,Kuldeep Yadav,4.0,0,18,1,4.5,13,0,0
2,Kolkata Knight Riders,M Prasidh Krishna,4.0,0,28,1,7.0,10,0,0
2,Kolkata Knight Riders,PP Chawla,4.0,0,24,2,6.0,7,0,0
2,Kolkata Knight Riders,SP Narine,4.0,0,39,0,9.75,9,1,0
