match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2018-04-08,Delhi Daredevils,Punjab Cricket Association IS Bindra Stadium,7,5,0,1,140.0,c Mohammed Shami b CH Morris,2
8,2018-04-13,Royal Challengers Bangalore,M.Chinnaswamy Stadium,15,11,3,0,136.36,c Q de Kock b UT Yadav,2
12,2018-04-15,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,30,19,1,2,157.89,c RA Jadeja b Imran Tahir,3
16,2018-04-19,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,18,9,2,1,200.0,c DJ Hooda b S Kaul,3
18,2018-04-21,Kolkata Knight Riders,Eden Gardens,2,2,0,0,100.0,not out,3
22,2018-04-23,Delhi Daredevils,Arun Jaitley Stadium,21,16,3,0,131.25,b LE Plunkett,3
25,2018-04-26,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,12,15,0,0,80.0,c MK Pandey b Shakib Al Hasan,3
34,2018-05-04,Mumbai Indians,Holkar Cricket Stadium,11,7,0,1,157.14,c & b HH Pandya,7
38,2018-05-06,Rajasthan Royals,Holkar Cricket Stadium,2,3,0,0,66.67,c RA Tripathi b BA Stokes,3
44,2018-05-12,Kolkata Knight Riders,Holkar Cricket Stadium,0,1,0,0,0.0,c JPR Scantlebury-Searles b AD Russell,3
48,2018-05-14,Royal Challengers Bangalore,Holkar Cricket Stadium,2,6,0,0,33.33,c PA Patel b C de Grandhomme,6
