match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
3,Kolkata Knight Riders,BB McCullum,43,27,6,2,159.26,b SP Narine
3,Kolkata Knight Riders,Q de Kock,4,4,1,0,100.0,c R Vinay Kumar b PP Chawla
3,Kolkata Knight Riders,V Kohli,31,33,1,1,93.94,b N Rana
3,Kolkata Knight Riders,AB de Villiers,44,23,1,5,191.3,c MG Johnson b N Rana
3,Kolkata Knight Riders,SN Khan,6,10,0,0,60.0,c RK Singh b MG Johnson
3,Kolkata Knight Riders,Mandeep Singh,37,18,4,2,205.56,c Kuldeep Yadav b R Vinay Kumar
3,Kolkata Knight Riders,CR Woakes,5,5,1,0,100.0,c AD Russell b R Vinay Kumar
8,Kings XI Punjab,Q de Kock,45,34,7,1,132.35,b R Ashwin
8,Kings XI Punjab,BB McCullum,0,1,0,0,0.0,c Mujeeb Ur Rahman b AR Patel
8,Kings XI Punjab,V Kohli,21,16,4,0,131.25,b Mujeeb Ur Rahman
8,Kings XI Punjab,AB de Villiers,57,40,2,4,142.5,c KK Nair b AJ Tye
8,Kings XI Punjab,SN Khan,0,1,0,0,0.0,c KK Nair b R Ashwin
8,Kings XI Punjab,Mandeep Singh,22,19,1,0,115.79,run out ()
8,Kings XI Punjab,CR Woakes,1,2,0,0,50.0,not out
8,Kings XI Punjab,Washington Sundar,9,4,2,0,225.0,not out
11,Rajasthan Royals,BB McCullum,4,4,1,0,100.0,c BA Stokes b K Gowtham
11,Rajasthan Royals,Q de Kock,26,19,4,0,136.84,c JD Unadkat b DJM Short
11,Rajasthan Royals,V Kohli,57,30,7,2,190.0,c DJM Short b S Gopal
11,Rajasthan Royals,AB de Villiers,20,18,1,1,111.11,c JD Unadkat b S Gopal
11,Rajasthan Royals,Mandeep Singh,47,25,6,1,188.0,not out
11,Rajasthan Royals,P Negi,3,4,0,0,75.0,c JC Buttler b B Laughlin
11,Rajasthan Royals,Washington Sundar,35,19,1,3,184.21,b BA Stokes
11,Rajasthan Royals,CR Woakes,0,1,0,0,0.0,not out
14,Mumbai Indians,V Kohli,92,62,7,4,148.39,not out
14,Mumbai Indians,Q de Kock,19,12,2,1,158.33,b MJ McClenaghan
14,Mumbai Indians,AB de Villiers,1,2,0,0,50.0,c HH Pandya b MJ McClenaghan
14,Mumbai Indians,Mandeep Singh,16,14,1,0,114.29,st Ishan Kishan b KH Pandya
14,Mumbai Indians,CJ Anderson,0,1,0,0,0.0,c JP Duminy b KH Pandya
14,Mumbai Indians,Washington Sundar,7,8,1,0,87.5,c SA Yadav b KH Pandya
14,Mumbai Indians,SN Khan,5,6,1,0,83.33,st AP Tare b M Markande
14,Mumbai Indians,CR Woakes,11,11,0,1,100.0,c KH Pandya b JJ Bumrah
14,Mumbai Indians,UT Yadav,1,2,0,0,50.0,c RG Sharma b JJ Bumrah
14,Mumbai Indians,Mohammed Siraj,8,3,0,1,266.67,not out
19,Delhi Daredevils,Q de Kock,18,16,1,1,112.5,run out ()
19,Delhi Daredevils,M Vohra,2,5,0,0,40.0,c JJ Roy b GJ Maxwell
19,Delhi Daredevils,V Kohli,30,26,2,1,115.38,c TA Boult b HV Patel
19,Delhi Daredevils,AB de Villiers,90,39,10,5,230.77,not out
19,Delhi Daredevils,CJ Anderson,15,13,0,1,115.38,b TA Boult
19,Delhi Daredevils,Mandeep Singh,17,9,1,1,188.89,not out
24,Chennai Super Kings,Q de Kock,53,37,1,4,143.24,c & b DJ Bravo
24,Chennai Super Kings,V Kohli,18,15,3,0,120.0,c RA Jadeja b SN Thakur
24,Chennai Super Kings,AB de Villiers,68,30,2,8,226.67,c SW Billings b Imran Tahir
24,Chennai Super Kings,CJ Anderson,2,8,0,0,25.0,c Harbhajan Singh b Imran Tahir
