innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Delhi Capitals,PP Shaw,24,16,5,0,150.0,c SR Watson b DL Chahar,1
1,Delhi Capitals,S Dhawan,51,47,7,0,108.51,c SN Thakur b DJ Bravo,2
1,Delhi Capitals,SS Iyer,18,20,0,1,90.0,lbw b Imran Tahir,3
1,Delhi Capitals,RR Pant,25,13,2,1,192.31,c SN Thakur b DJ Bravo,4
1,Delhi Capitals,CA Ingram,2,2,0,0,100.0,c SK Raina b DJ Bravo,5
1,Delhi Capitals,KMA Paul,0,4,0,0,0.0,b RA Jadeja,6
1,Delhi Capitals,AR Patel,9,9,1,0,100.0,not out,7
1,Delhi Capitals,R Tewatia,11,9,1,0,122.22,not out,8
2,Chennai Super Kings,SR Watson,44,26,4,3,169.23,st RR Pant b A Mishra,1
2,Chennai Super Kings,AT Rayudu,5,5,1,0,100.0,c SS Iyer b I Sharma,2
2,Chennai Super Kings,SK Raina,30,16,4,1,187.5,c RR Pant b A Mishra,3
2,Chennai Super Kings,KM Jadhav,27,34,2,0,79.41,c RR Pant b K Rabada,4
2,Chennai Super Kings,MS Dhoni,32,35,2,1,91.43,not out,5
2,Chennai Super Kings,DJ Bravo,4,3,1,0,133.33,not out,6
