innings,team,wicket_number,player_out,score,over
1,Kings XI Punjab,1,KL Rahul,15,2.5
1,Kings XI Punjab,2,SM Curran,36,4.5
1,Kings XI Punjab,3,MA Agarwal,58,8.1
1,Kings XI Punjab,4,SN Khan,120,14.5
1,Kings XI Punjab,5,DA Miller,137,17.2
1,Kings XI Punjab,6,GC Viljoen,146,18.3
1,Kings XI Punjab,7,R Ashwin,152,19.5
1,Kings XI Punjab,8,M Ashwin,153,20.1
1,Kings XI Punjab,9,Mohammed Shami,156,20.4
2,Delhi Capitals,1,PP Shaw,0,1.1
2,Delhi Capitals,2,SS Iyer,61,8.2
2,Delhi Capitals,3,S Dhawan,82,10.5
2,Delhi Capitals,4,RR Pant,144,17.4
2,Delhi Capitals,5,CH Morris,144,17.5
2,Delhi Capitals,6,CA Ingram,147,18.4
2,Delhi Capitals,7,HV Patel,148,18.6
2,Delhi Capitals,8,GH Vihari,148,19.3
2,Delhi Capitals,9,K Rabada,152,20.1
2,Delhi Capitals,10,S Lamichhane,152,20.2
