innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Chennai Super Kings,SR Watson,26,24,3,1,108.33,c SM Curran b R Ashwin,1
1,Chennai Super Kings,F du Plessis,54,38,2,4,142.11,c DA Miller b R Ashwin,2
1,Chennai Super Kings,SK Raina,17,20,1,0,85.0,b R Ashwin,3
1,Chennai Super Kings,MS Dhoni,37,23,4,1,160.87,not out,4
1,Chennai Super Kings,AT Rayudu,21,15,1,1,140.0,not out,5
2,Kings XI Punjab,KL Rahul,55,47,3,1,117.02,c RA Jadeja b SC Kuggeleijn,1
2,Kings XI Punjab,CH Gayle,5,7,1,0,71.43,c MS Dhoni b Harbhajan Singh,2
2,Kings XI Punjab,MA Agarwal,0,2,0,0,0.0,c F du Plessis b Harbhajan Singh,3
2,Kings XI Punjab,SN Khan,67,59,4,2,113.56,c F du Plessis b SC Kuggeleijn,4
2,Kings XI Punjab,DA Miller,6,5,1,0,120.0,b DL Chahar,5
2,Kings XI Punjab,Mandeep Singh,1,1,0,0,100.0,not out,6
2,Kings XI Punjab,SM Curran,0,1,0,0,0.0,not out,7
