innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Chennai Super Kings,DL Chahar,4.0,0,33,2,8.25,10,0,0
1,Chennai Super Kings,Imran Tahir,4.0,0,28,0,7.0,6,0,0
1,Chennai Super Kings,MJ Santner,4.0,0,25,1,6.25,11,1,0
1,Chennai Super Kings,RA Jadeja,4.0,0,20,2,5.0,9,0,0
1,Chennai Super Kings,SN Thakur,4.0,0,44,2,11.0,5,1,0
2,Rajasthan Royals,BA Stokes,3.0,0,39,2,13.0,5,3,1
2,Rajasthan Royals,DS Kulkarni,3.0,1,14,1,4.67,11,0,0
2,Rajasthan Royals,JC Archer,4.0,1,19,1,4.75,8,0,0
2,Rajasthan Royals,JD Unadkat,3.0,0,23,1,7.67,8,0,0
2,Rajasthan Royals,R Parag,3.0,0,24,0,8.0,6,0,0
2,Rajasthan Royals,S Gopal,4.0,0,31,0,7.75,3,0,0
