innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Kings XI Punjab,1,1,KL Rahul,DS Kulkarni,CH Gayle,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,2,KL Rahul,DS Kulkarni,CH Gayle,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,3,CH Gayle,DS Kulkarni,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,4,CH Gayle,DS Kulkarni,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,5,CH Gayle,DS Kulkarni,KL Rahul,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,1,6,KL Rahul,DS Kulkarni,CH Gayle,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,1,CH Gayle,JD Unadkat,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,2,CH Gayle,JD Unadkat,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,3,CH Gayle,JD Unadkat,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,4,CH Gayle,JD Unadkat,KL Rahul,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,5,CH Gayle,JD Unadkat,KL Rahul,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,2,6,CH Gayle,JD Unadkat,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,1,KL Rahul,DS Kulkarni,CH Gayle,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,2,KL Rahul,DS Kulkarni,CH Gayle,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,3,KL Rahul,DS Kulkarni,CH Gayle,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,4,CH Gayle,DS Kulkarni,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,5,CH Gayle,DS Kulkarni,KL Rahul,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,3,6,CH Gayle,DS Kulkarni,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,4,1,KL Rahul,JC Archer,CH Gayle,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,4,2,CH Gayle,JC Archer,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,4,3,CH Gayle,JC Archer,KL Rahul,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,4,4,KL Rahul,JC Archer,CH Gayle,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,4,5,KL Rahul,JC Archer,CH Gayle,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,4,6,KL Rahul,JC Archer,CH Gayle,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,5,1,CH Gayle,DS Kulkarni,KL Rahul,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,5,2,KL Rahul,DS Kulkarni,CH Gayle,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,5,3,KL Rahul,DS Kulkarni,CH Gayle,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,5,4,CH Gayle,DS Kulkarni,KL Rahul,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,5,5,CH Gayle,DS Kulkarni,KL Rahul,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,5,6,CH Gayle,DS Kulkarni,KL Rahul,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,6,1,CH Gayle,JC Archer,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,6,2,CH Gayle,JC Archer,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,6,3,CH Gayle,JC Archer,KL Rahul,0,4,4,byes,0,0,4,0,0,False,,,,powerplay
1,Kings XI Punjab,6,4,CH Gayle,JC Archer,KL Rahul,0,0,0,,0,0,0,0,0,True,caught,CH Gayle,SV Samson,powerplay
1,Kings XI Punjab,6,5,MA Agarwal,JC Archer,KL Rahul,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,6,6,KL Rahul,JC Archer,MA Agarwal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kings XI Punjab,7,1,MA Agarwal,IS Sodhi,KL Rahul,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,7,2,KL Rahul,IS Sodhi,MA Agarwal,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,7,3,MA Agarwal,IS Sodhi,KL Rahul,2,0,2,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,7,4,MA Agarwal,IS Sodhi,KL Rahul,6,0,6,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,7,5,MA Agarwal,IS Sodhi,KL Rahul,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,7,6,KL Rahul,IS Sodhi,MA Agarwal,0,0,0,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,8,1,MA Agarwal,S Gopal,KL Rahul,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,8,2,KL Rahul,S Gopal,MA Agarwal,1,0,1,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,8,3,MA Agarwal,S Gopal,KL Rahul,4,0,4,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,8,4,MA Agarwal,S Gopal,KL Rahul,6,0,6,,0,0,0,0,0,False,,,,middle
1,Kings XI Punjab,8,5,MA Agarwal,S Gopal,KL Rahul,1,0,1,,0,0,0,0,0,False,,,,middle
