innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Mumbai Indians,RG Sharma,67,48,6,3,139.58,c M Vijay b MJ Santner,1
1,Mumbai Indians,Q de Kock,15,9,1,1,166.67,c AT Rayudu b DL Chahar,2
1,Mumbai Indians,E Lewis,32,30,3,1,106.67,c DJ Bravo b MJ Santner,3
1,Mumbai Indians,KH Pandya,1,3,0,0,33.33,c MJ Santner b Imran Tahir,4
1,Mumbai Indians,HH Pandya,23,18,1,1,127.78,not out,5
1,Mumbai Indians,KA Pollard,13,12,2,0,108.33,not out,6
2,Chennai Super Kings,M Vijay,38,35,3,1,108.57,c SA Yadav b JJ Bumrah,1
2,Chennai Super Kings,SR Watson,8,4,2,0,200.0,c RD Chahar b SL Malinga,2
2,Chennai Super Kings,SK Raina,2,4,0,0,50.0,c SA Yadav b HH Pandya,3
2,Chennai Super Kings,AT Rayudu,0,3,0,0,0.0,b KH Pandya,4
2,Chennai Super Kings,KM Jadhav,6,11,0,0,54.55,b KH Pandya,5
2,Chennai Super Kings,DR Shorey,5,8,0,0,62.5,c RD Chahar b AS Roy,6
2,Chennai Super Kings,DJ Bravo,20,17,2,0,117.65,c & b SL Malinga,7
2,Chennai Super Kings,MJ Santner,22,20,0,2,110.0,c KA Pollard b SL Malinga,8
2,Chennai Super Kings,DL Chahar,0,2,0,0,0.0,c KH Pandya b JJ Bumrah,9
2,Chennai Super Kings,Harbhajan Singh,1,3,0,0,33.33,c HH Pandya b SL Malinga,10
