match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2019-03-25,Kings XI Punjab,Sawai Mansingh Stadium,27,20,4,0,135.0,b R Ashwin,1
8,2019-03-29,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,70,49,4,3,142.86,c MK Pandey b S Nadeem,1
12,2019-03-31,Chennai Super Kings,MA Chidambaram Stadium,0,2,0,0,0.0,c RA Jadeja b DL Chahar,1
14,2019-04-02,Royal Challengers Bangalore,Sawai Mansingh Stadium,22,20,4,0,110.0,lbw b YS Chahal,1
21,2019-04-07,Kolkata Knight Riders,Sawai Mansingh Stadium,5,7,1,0,71.43,lbw b M Prasidh Krishna,1
25,2019-04-11,Chennai Super Kings,Sawai Mansingh Stadium,14,11,3,0,127.27,lbw b DL Chahar,1
27,2019-04-13,Mumbai Indians,Wankhede Stadium,37,21,6,1,176.19,c SA Yadav b KH Pandya,1
32,2019-04-16,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,26,21,1,0,123.81,c Mohammed Shami b Arshdeep Singh,4
36,2019-04-20,Mumbai Indians,Sawai Mansingh Stadium,12,12,2,0,100.0,c SA Yadav b RD Chahar,1
40,2019-04-22,Delhi Capitals,Sawai Mansingh Stadium,105,63,11,3,166.67,not out,1
43,2019-04-25,Kolkata Knight Riders,Eden Gardens,34,21,5,1,161.9,lbw b SP Narine,1
45,2019-04-27,Sunrisers Hyderabad,Sawai Mansingh Stadium,39,34,4,1,114.71,c DA Warner b Shakib Al Hasan,1
53,2019-05-04,Delhi Capitals,Arun Jaitley Stadium,2,4,0,0,50.0,c S Dhawan b I Sharma,1
