match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2019-03-24,Mumbai Indians,Wankhede Stadium,4.0,0,34,2,8.5,12,0,0
5,2019-03-26,Chennai Super Kings,Arun Jaitley Stadium,3.0,0,28,1,9.33,4,0,0
16,2019-04-04,Sunrisers Hyderabad,Arun Jaitley Stadium,1.0,0,5,1,5.0,2,1,0
20,2019-04-07,Royal Challengers Bangalore,M.Chinnaswamy Stadium,4.0,0,31,0,7.75,10,1,0
26,2019-04-12,Kolkata Knight Riders,Eden Gardens,4.0,1,21,1,5.25,13,2,0
30,2019-04-14,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,3.0,0,19,0,6.33,8,1,0
34,2019-04-18,Mumbai Indians,Arun Jaitley Stadium,3.0,0,17,0,5.67,4,0,0
37,2019-04-20,Kings XI Punjab,Arun Jaitley Stadium,4.0,0,29,0,7.25,11,2,0
40,2019-04-22,Rajasthan Royals,Sawai Mansingh Stadium,4.0,0,29,1,7.25,11,0,0
46,2019-04-28,Royal Challengers Bangalore,Arun Jaitley Stadium,4.0,0,40,1,10.0,8,0,0
53,2019-05-04,Rajasthan Royals,Arun Jaitley Stadium,4.0,0,38,3,9.5,12,2,0
58,2019-05-08,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4.0,0,34,2,8.5,9,0,0
59,2019-05-10,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4.0,0,24,1,6.0,9,0,0
