match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
1,Royal Challengers Bangalore,SR Watson,0,10,0,0,0.0,b YS Chahal
1,Royal Challengers Bangalore,AT Rayudu,28,42,2,1,66.67,b Mohammed Siraj
1,Royal Challengers Bangalore,SK Raina,19,21,3,0,90.48,c S Dube b MM Ali
1,Royal Challengers Bangalore,KM Jadhav,13,19,1,0,68.42,not out
1,Royal Challengers Bangalore,RA Jadeja,6,15,0,0,40.0,not out
5,Delhi Capitals,SR Watson,44,26,4,3,169.23,st RR Pant b A Mishra
5,Delhi Capitals,AT Rayudu,5,5,1,0,100.0,c SS Iyer b I Sharma
5,Delhi Capitals,SK Raina,30,16,4,1,187.5,c RR Pant b A Mishra
5,Delhi Capitals,KM Jadhav,27,34,2,0,79.41,c RR Pant b K Rabada
5,Delhi Capitals,MS Dhoni,32,35,2,1,91.43,not out
5,Delhi Capitals,DJ Bravo,4,3,1,0,133.33,not out
12,Rajasthan Royals,AT Rayudu,1,8,0,0,12.5,c JC Buttler b JC Archer
12,Rajasthan Royals,SR Watson,13,13,1,1,100.0,c JC Archer b BA Stokes
12,Rajasthan Royals,SK Raina,36,32,4,1,112.5,b JD Unadkat
12,Rajasthan Royals,KM Jadhav,8,3,2,0,266.67,c JC Buttler b DS Kulkarni
12,Rajasthan Royals,MS Dhoni,75,46,4,4,163.04,not out
12,Rajasthan Royals,DJ Bravo,27,16,3,1,168.75,c DS Kulkarni b JC Archer
12,Rajasthan Royals,RA Jadeja,8,3,0,1,266.67,not out
15,Mumbai Indians,SR Watson,5,6,1,0,83.33,c KA Pollard b SL Malinga
15,Mumbai Indians,AT Rayudu,0,1,0,0,0.0,c Q de Kock b JP Behrendorff
15,Mumbai Indians,SK Raina,16,15,2,1,106.67,c KA Pollard b JP Behrendorff
15,Mumbai Indians,KM Jadhav,58,54,8,1,107.41,c Q de Kock b SL Malinga
15,Mumbai Indians,MS Dhoni,12,21,0,0,57.14,c SA Yadav b HH Pandya
15,Mumbai Indians,RA Jadeja,1,2,0,0,50.0,c Q de Kock b HH Pandya
15,Mumbai Indians,DJ Bravo,8,9,0,1,88.89,c Q de Kock b SL Malinga
15,Mumbai Indians,DL Chahar,7,7,1,0,100.0,c JJ Bumrah b HH Pandya
15,Mumbai Indians,SN Thakur,12,5,1,1,240.0,not out
15,Mumbai Indians,MM Sharma,0,2,0,0,0.0,not out
18,Kings XI Punjab,SR Watson,26,24,3,1,108.33,c SM Curran b R Ashwin
18,Kings XI Punjab,F du Plessis,54,38,2,4,142.11,c DA Miller b R Ashwin
18,Kings XI Punjab,SK Raina,17,20,1,0,85.0,b R Ashwin
18,Kings XI Punjab,MS Dhoni,37,23,4,1,160.87,not out
18,Kings XI Punjab,AT Rayudu,21,15,1,1,140.0,not out
23,Kolkata Knight Riders,SR Watson,17,9,2,1,188.89,c PP Chawla b SP Narine
23,Kolkata Knight Riders,F du Plessis,43,45,3,0,95.56,not out
23,Kolkata Knight Riders,SK Raina,14,13,1,1,107.69,c PP Chawla b SP Narine
23,Kolkata Knight Riders,AT Rayudu,21,31,2,0,67.74,c N Rana b PP Chawla
23,Kolkata Knight Riders,KM Jadhav,8,8,1,0,100.0,not out
25,Rajasthan Royals,SR Watson,0,4,0,0,0.0,b DS Kulkarni
25,Rajasthan Royals,F du Plessis,7,10,0,0,70.0,c RA Tripathi b JD Unadkat
25,Rajasthan Royals,SK Raina,4,4,1,0,100.0,run out ()
25,Rajasthan Royals,AT Rayudu,57,47,2,3,121.28,c S Gopal b BA Stokes
25,Rajasthan Royals,KM Jadhav,1,6,0,0,16.67,c BA Stokes b JC Archer
25,Rajasthan Royals,MS Dhoni,58,43,2,3,134.88,b BA Stokes
25,Rajasthan Royals,RA Jadeja,9,4,0,1,225.0,not out
25,Rajasthan Royals,MJ Santner,10,3,0,1,333.33,not out
29,Kolkata Knight Riders,SR Watson,6,7,1,0,85.71,lbw b HF Gurney
29,Kolkata Knight Riders,F du Plessis,24,16,5,0,150.0,b SP Narine
29,Kolkata Knight Riders,SK Raina,58,42,7,1,138.1,not out
29,Kolkata Knight Riders,AT Rayudu,5,11,0,0,45.45,c RV Uthappa b PP Chawla
29,Kolkata Knight Riders,KM Jadhav,20,12,3,1,166.67,lbw b PP Chawla
29,Kolkata Knight Riders,MS Dhoni,16,13,0,1,123.08,lbw b SP Narine
29,Kolkata Knight Riders,RA Jadeja,31,17,5,0,182.35,not out
33,Sunrisers Hyderabad,SR Watson,31,29,4,0,106.9,b S Nadeem
33,Sunrisers Hyderabad,F du Plessis,45,31,3,3,145.16,c JM Bairstow b V Shankar
33,Sunrisers Hyderabad,SK Raina,13,13,2,0,100.0,lbw b Rashid Khan
33,Sunrisers Hyderabad,AT Rayudu,25,21,2,0,119.05,not out
33,Sunrisers Hyderabad,KM Jadhav,1,2,0,0,50.0,lbw b Rashid Khan
33,Sunrisers Hyderabad,SW Billings,0,4,0,0,0.0,c V Shankar b KK Ahmed
33,Sunrisers Hyderabad,RA Jadeja,10,20,0,0,50.0,not out
39,Royal Challengers Bangalore,SR Watson,5,3,1,0,166.67,c MP Stoinis b DW Steyn
39,Royal Challengers Bangalore,F du Plessis,5,15,0,0,33.33,c AB de Villiers b UT Yadav
39,Royal Challengers Bangalore,SK Raina,0,1,0,0,0.0,b DW Steyn
39,Royal Challengers Bangalore,AT Rayudu,29,29,2,1,100.0,b YS Chahal
39,Royal Challengers Bangalore,KM Jadhav,9,9,2,0,100.0,c AB de Villiers b UT Yadav
39,Royal Challengers Bangalore,MS Dhoni,84,48,5,7,175.0,not out
39,Royal Challengers Bangalore,RA Jadeja,11,12,0,0,91.67,run out ()
39,Royal Challengers Bangalore,DJ Bravo,5,4,0,0,125.0,c PA Patel b Navdeep Saini
39,Royal Challengers Bangalore,SN Thakur,0,0,0,0,0.0,run out ()
41,Sunrisers Hyderabad,SR Watson,96,53,9,6,181.13,c JM Bairstow b B Kumar
41,Sunrisers Hyderabad,F du Plessis,1,7,0,0,14.29,run out ()
41,Sunrisers Hyderabad,SK Raina,38,24,6,1,158.33,st JM Bairstow b Rashid Khan
41,Sunrisers Hyderabad,AT Rayudu,21,25,1,0,84.0,c V Shankar b Sandeep Sharma
41,Sunrisers Hyderabad,KM Jadhav,11,10,0,1,110.0,not out
44,Mumbai Indians,M Vijay,38,35,3,1,108.57,c SA Yadav b JJ Bumrah
44,Mumbai Indians,SR Watson,8,4,2,0,200.0,c RD Chahar b SL Malinga
44,Mumbai Indians,SK Raina,2,4,0,0,50.0,c SA Yadav b HH Pandya
44,Mumbai Indians,AT Rayudu,0,3,0,0,0.0,b KH Pandya
44,Mumbai Indians,KM Jadhav,6,11,0,0,54.55,b KH Pandya
44,Mumbai Indians,DR Shorey,5,8,0,0,62.5,c RD Chahar b AS Roy
44,Mumbai Indians,DJ Bravo,20,17,2,0,117.65,c & b SL Malinga
44,Mumbai Indians,MJ Santner,22,20,0,2,110.0,c KA Pollard b SL Malinga
44,Mumbai Indians,DL Chahar,0,2,0,0,0.0,c KH Pandya b JJ Bumrah
44,Mumbai Indians,Harbhajan Singh,1,3,0,0,33.33,c HH Pandya b SL Malinga
50,Delhi Capitals,F du Plessis,39,41,2,2,95.12,c S Dhawan b AR Patel
50,Delhi Capitals,SR Watson,0,9,0,0,0.0,c AR Patel b J Suchith
50,Delhi Capitals,SK Raina,59,37,8,1,159.46,c S Dhawan b J Suchith
50,Delhi Capitals,MS Dhoni,44,22,4,3,200.0,not out
50,Delhi Capitals,RA Jadeja,25,10,2,2,250.0,c & b CH Morris
50,Delhi Capitals,AT Rayudu,5,2,1,0,250.0,not out
55,Kings XI Punjab,F du Plessis,96,55,10,4,174.55,b SM Curran
55,Kings XI Punjab,SR Watson,7,11,1,0,63.64,b SM Curran
55,Kings XI Punjab,SK Raina,53,38,5,2,139.47,c Mohammed Shami b SM Curran
55,Kings XI Punjab,MS Dhoni,10,12,0,0,83.33,not out
55,Kings XI Punjab,AT Rayudu,1,2,0,0,50.0,c Mandeep Singh b Mohammed Shami
55,Kings XI Punjab,KM Jadhav,0,1,0,0,0.0,b Mohammed Shami
55,Kings XI Punjab,DJ Bravo,1,1,0,0,100.0,not out
57,Mumbai Indians,F du Plessis,6,11,1,0,54.55,c Anmolpreet Singh b RD Chahar
57,Mumbai Indians,SR Watson,10,13,2,0,76.92,c J Yadav b KH Pandya
57,Mumbai Indians,SK Raina,5,7,1,0,71.43,c & b J Yadav
57,Mumbai Indians,M Vijay,26,26,3,0,100.0,st Q de Kock b RD Chahar
57,Mumbai Indians,AT Rayudu,42,37,3,1,113.51,not out
57,Mumbai Indians,MS Dhoni,37,29,0,3,127.59,not out
59,Delhi Capitals,F du Plessis,50,39,7,1,128.21,c KMA Paul b TA Boult
59,Delhi Capitals,SR Watson,50,32,3,4,156.25,c TA Boult b A Mishra
59,Delhi Capitals,SK Raina,11,13,0,0,84.62,b AR Patel
