match_number,date,opponent,venue,result,margin
4,2019-03-25,Kings XI Punjab,Sawai Mansingh Stadium,lost,by 14 runs
8,2019-03-29,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,lost,by 5 wickets
12,2019-03-31,Chennai Super Kings,MA Chidambaram Stadium,lost,by 8 runs
14,2019-04-02,Royal Challengers Bangalore,Sawai Mansingh Stadium,won,by 7 wickets
21,2019-04-07,Kolkata Knight Riders,Sawai Mansingh Stadium,lost,by 8 wickets
25,2019-04-11,Chennai Super Kings,Sawai Mansingh Stadium,lost,by 4 wickets
27,2019-04-13,Mumbai Indians,Wankhede Stadium,won,by 4 wickets
32,2019-04-16,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,lost,by 12 runs
36,2019-04-20,Mumbai Indians,Sawai Mansingh Stadium,won,by 5 wickets
40,2019-04-22,Delhi Capitals,Sawai Mansingh Stadium,lost,by 6 wickets
43,2019-04-25,Kolkata Knight Riders,Eden Gardens,won,by 3 wickets
45,2019-04-27,Sunrisers Hyderabad,Sawai Mansingh Stadium,won,by 7 wickets
49,2019-04-30,Royal Challengers Bangalore,M.Chinnaswamy Stadium,no result,
53,2019-05-04,Delhi Capitals,Arun Jaitley Stadium,lost,by 5 wickets
