innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Mumbai Indians,1,1,RG Sharma,DL Chahar,Q de Kock,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,2,RG Sharma,DL Chahar,Q de Kock,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,3,Q de Kock,DL Chahar,RG Sharma,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,4,Q de Kock,DL Chahar,RG Sharma,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,5,Q de Kock,DL Chahar,RG Sharma,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,1,6,Q de Kock,DL Chahar,RG Sharma,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,1,Q de Kock,SM Curran,RG Sharma,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,2,Q de Kock,SM Curran,RG Sharma,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,3,Q de Kock,SM Curran,RG Sharma,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,4,RG Sharma,SM Curran,Q de Kock,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,5,RG Sharma,SM Curran,Q de Kock,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,2,6,Q de Kock,SM Curran,RG Sharma,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,1,Q de Kock,DL Chahar,RG Sharma,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,2,RG Sharma,DL Chahar,Q de Kock,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,3,RG Sharma,DL Chahar,Q de Kock,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,4,RG Sharma,DL Chahar,Q de Kock,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,5,Q de Kock,DL Chahar,RG Sharma,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,3,6,Q de Kock,DL Chahar,RG Sharma,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,1,RG Sharma,L Ngidi,Q de Kock,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,2,Q de Kock,L Ngidi,RG Sharma,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,3,Q de Kock,L Ngidi,RG Sharma,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,4.wides,Q de Kock,L Ngidi,RG Sharma,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,4,Q de Kock,L Ngidi,RG Sharma,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,5.wides,Q de Kock,L Ngidi,RG Sharma,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,5,Q de Kock,L Ngidi,RG Sharma,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,4,6,Q de Kock,L Ngidi,RG Sharma,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,5,1,Q de Kock,PP Chawla,RG Sharma,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,5,2,Q de Kock,PP Chawla,RG Sharma,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,5,3,RG Sharma,PP Chawla,Q de Kock,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,5,4,RG Sharma,PP Chawla,Q de Kock,0,0,0,,0,0,0,0,0,True,caught,RG Sharma,SM Curran,powerplay
1,Mumbai Indians,5,5,SA Yadav,PP Chawla,Q de Kock,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,5,6,Q de Kock,PP Chawla,SA Yadav,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,6,1,Q de Kock,SM Curran,SA Yadav,0,0,0,,0,0,0,0,0,True,caught,Q de Kock,SR Watson,powerplay
1,Mumbai Indians,6,2,SS Tiwary,SM Curran,SA Yadav,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,6,3,SS Tiwary,SM Curran,SA Yadav,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,6,4,SS Tiwary,SM Curran,SA Yadav,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,6,5,SS Tiwary,SM Curran,SA Yadav,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,6,6,SA Yadav,SM Curran,SS Tiwary,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Mumbai Indians,7,1,SS Tiwary,RA Jadeja,SA Yadav,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,7,2,SA Yadav,RA Jadeja,SS Tiwary,4,0,4,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,7,3,SA Yadav,RA Jadeja,SS Tiwary,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,7,4,SS Tiwary,RA Jadeja,SA Yadav,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,7,5,SA Yadav,RA Jadeja,SS Tiwary,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,7,6,SS Tiwary,RA Jadeja,SA Yadav,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,8,1,SS Tiwary,SM Curran,SA Yadav,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,8,2,SA Yadav,SM Curran,SS Tiwary,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,8,3,SS Tiwary,SM Curran,SA Yadav,0,0,0,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,8,4,SS Tiwary,SM Curran,SA Yadav,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,8,5,SA Yadav,SM Curran,SS Tiwary,4,0,4,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,8,6,SA Yadav,SM Curran,SS Tiwary,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,9,1,SA Yadav,RA Jadeja,SS Tiwary,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,9,2,SS Tiwary,RA Jadeja,SA Yadav,6,0,6,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,9,3,SS Tiwary,RA Jadeja,SA Yadav,2,0,2,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,9,4,SS Tiwary,RA Jadeja,SA Yadav,4,0,4,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,9,5,SS Tiwary,RA Jadeja,SA Yadav,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,9,6,SA Yadav,RA Jadeja,SS Tiwary,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,10,1.wides,SA Yadav,PP Chawla,SS Tiwary,0,1,1,wides,1,0,0,0,0,False,,,,middle
1,Mumbai Indians,10,1,SA Yadav,PP Chawla,SS Tiwary,0,0,0,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,10,2,SA Yadav,PP Chawla,SS Tiwary,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,10,3,SS Tiwary,PP Chawla,SA Yadav,0,0,0,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,10,4,SS Tiwary,PP Chawla,SA Yadav,0,0,0,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,10,5,SS Tiwary,PP Chawla,SA Yadav,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,10,6,SA Yadav,PP Chawla,SS Tiwary,0,0,0,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,11,1,SS Tiwary,DL Chahar,SA Yadav,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,11,2,SA Yadav,DL Chahar,SS Tiwary,0,0,0,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,11,3,SA Yadav,DL Chahar,SS Tiwary,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,11,4,SS Tiwary,DL Chahar,SA Yadav,2,0,2,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,11,5,SS Tiwary,DL Chahar,SA Yadav,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,11,6.wides,SA Yadav,DL Chahar,SS Tiwary,0,1,1,wides,1,0,0,0,0,False,,,,middle
1,Mumbai Indians,11,6,SA Yadav,DL Chahar,SS Tiwary,0,0,0,,0,0,0,0,0,True,caught,SA Yadav,SM Curran,middle
1,Mumbai Indians,12,1,SS Tiwary,RA Jadeja,HH Pandya,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,12,2,HH Pandya,RA Jadeja,SS Tiwary,0,0,0,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,12,3,HH Pandya,RA Jadeja,SS Tiwary,0,0,0,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,12,4,HH Pandya,RA Jadeja,SS Tiwary,0,0,0,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,12,5,HH Pandya,RA Jadeja,SS Tiwary,6,0,6,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,12,6,HH Pandya,RA Jadeja,SS Tiwary,6,0,6,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,13,1,SS Tiwary,L Ngidi,HH Pandya,0,0,0,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,13,2,SS Tiwary,L Ngidi,HH Pandya,2,0,2,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,13,3,SS Tiwary,L Ngidi,HH Pandya,4,0,4,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,13,4,SS Tiwary,L Ngidi,HH Pandya,4,0,4,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,13,5,SS Tiwary,L Ngidi,HH Pandya,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,13,6,HH Pandya,L Ngidi,SS Tiwary,0,0,0,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,14,1,SS Tiwary,PP Chawla,HH Pandya,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,14,2,HH Pandya,PP Chawla,SS Tiwary,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,14,3,SS Tiwary,PP Chawla,HH Pandya,2,0,2,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,14,4,SS Tiwary,PP Chawla,HH Pandya,0,0,0,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,14,5,SS Tiwary,PP Chawla,HH Pandya,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,14,6,HH Pandya,PP Chawla,SS Tiwary,0,0,0,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,15,1,SS Tiwary,RA Jadeja,HH Pandya,0,0,0,,0,0,0,0,0,True,caught,SS Tiwary,F du Plessis,middle
1,Mumbai Indians,15,2,KA Pollard,RA Jadeja,HH Pandya,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,15,3,HH Pandya,RA Jadeja,KA Pollard,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,15,4,KA Pollard,RA Jadeja,HH Pandya,1,0,1,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,15,5,HH Pandya,RA Jadeja,KA Pollard,0,0,0,,0,0,0,0,0,True,caught,HH Pandya,F du Plessis,middle
1,Mumbai Indians,15,6,KH Pandya,RA Jadeja,KA Pollard,2,0,2,,0,0,0,0,0,False,,,,middle
1,Mumbai Indians,16,1,KA Pollard,PP Chawla,KH Pandya,0,0,0,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,16,2,KA Pollard,PP Chawla,KH Pandya,6,0,6,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,16,3,KA Pollard,PP Chawla,KH Pandya,1,0,1,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,16,4,KH Pandya,PP Chawla,KA Pollard,1,0,1,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,16,5,KA Pollard,PP Chawla,KH Pandya,0,0,0,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,16,6,KA Pollard,PP Chawla,KH Pandya,2,0,2,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,17,1,KH Pandya,L Ngidi,KA Pollard,0,0,0,,0,0,0,0,0,True,caught,KH Pandya,MS Dhoni,death
1,Mumbai Indians,17,2,JL Pattinson,L Ngidi,KA Pollard,1,0,1,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,17,3,KA Pollard,L Ngidi,JL Pattinson,1,0,1,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,17,4,JL Pattinson,L Ngidi,KA Pollard,1,0,1,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,17,5,KA Pollard,L Ngidi,JL Pattinson,1,0,1,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,17,6,JL Pattinson,L Ngidi,KA Pollard,0,0,0,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,18,1,KA Pollard,SM Curran,JL Pattinson,1,0,1,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,18,2,JL Pattinson,SM Curran,KA Pollard,4,0,4,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,18,3,JL Pattinson,SM Curran,KA Pollard,1,0,1,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,18,4,KA Pollard,SM Curran,JL Pattinson,4,0,4,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,18,5,KA Pollard,SM Curran,JL Pattinson,0,0,0,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,18,6,KA Pollard,SM Curran,JL Pattinson,0,1,1,legbyes,0,0,0,1,0,False,,,,death
1,Mumbai Indians,19,1,KA Pollard,L Ngidi,JL Pattinson,0,0,0,,0,0,0,0,0,True,caught,KA Pollard,MS Dhoni,death
1,Mumbai Indians,19,2,RD Chahar,L Ngidi,JL Pattinson,1,0,1,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,19,3,JL Pattinson,L Ngidi,RD Chahar,4,0,4,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,19,4,JL Pattinson,L Ngidi,RD Chahar,0,0,0,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,19,5,JL Pattinson,L Ngidi,RD Chahar,0,0,0,,0,0,0,0,0,True,caught,JL Pattinson,F du Plessis,death
1,Mumbai Indians,19,6,RD Chahar,L Ngidi,TA Boult,0,0,0,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,20,1,TA Boult,DL Chahar,RD Chahar,0,0,0,,0,0,0,0,0,True,bowled,TA Boult,,death
1,Mumbai Indians,20,2,JJ Bumrah,DL Chahar,RD Chahar,1,0,1,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,20,3,RD Chahar,DL Chahar,JJ Bumrah,0,0,0,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,20,4,RD Chahar,DL Chahar,JJ Bumrah,1,0,1,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,20,5,JJ Bumrah,DL Chahar,RD Chahar,2,0,2,,0,0,0,0,0,False,,,,death
1,Mumbai Indians,20,6,JJ Bumrah,DL Chahar,RD Chahar,2,0,2,,0,0,0,0,0,False,,,,death
2,Chennai Super Kings,1,1,M Vijay,TA Boult,SR Watson,1,0,1,,0,0,0,0,0,False,,,,powerplay
2,Chennai Super Kings,1,2,SR Watson,TA Boult,M Vijay,0,0,0,,0,0,0,0,0,False,,,,powerplay
2,Chennai Super Kings,1,3,SR Watson,TA Boult,M Vijay,0,0,0,,0,0,0,0,0,False,,,,powerplay
2,Chennai Super Kings,1,4,SR Watson,TA Boult,M Vijay,0,0,0,,0,0,0,0,0,False,,,,powerplay
2,Chennai Super Kings,1,5,SR Watson,TA Boult,M Vijay,4,0,4,,0,0,0,0,0,False,,,,powerplay
2,Chennai Super Kings,1,6,SR Watson,TA Boult,M Vijay,0,0,0,,0,0,0,0,0,True,lbw,SR Watson,,powerplay
2,Chennai Super Kings,2,1,M Vijay,JL Pattinson,F du Plessis,0,0,0,,0,0,0,0,0,False,,,,powerplay
2,Chennai Super Kings,2,2.wides,M Vijay,JL Pattinson,F du Plessis,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
