innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Sunrisers Hyderabad,Abdul Samad,2.0,0,27,0,13.5,1,0,0
1,Sunrisers Hyderabad,KS Williamson,2.0,0,24,0,12.0,0,0,0
1,Sunrisers Hyderabad,Rashid Khan,4.0,0,22,1,5.5,11,1,0
1,Sunrisers Hyderabad,S Kaul,4.0,0,64,2,16.0,6,1,1
1,Sunrisers Hyderabad,Sandeep Sharma,4.0,0,41,2,10.25,9,0,0
1,Sunrisers Hyderabad,T Natarajan,4.0,0,29,0,7.25,10,0,0
2,Mumbai Indians,JJ Bumrah,4.0,0,41,2,10.25,7,2,0
2,Mumbai Indians,JL Pattinson,4.0,0,29,2,7.25,8,1,0
2,Mumbai Indians,KA Pollard,3.0,0,20,0,6.67,6,2,0
2,Mumbai Indians,KH Pandya,4.0,0,35,1,8.75,8,4,0
2,Mumbai Indians,RD Chahar,1.0,0,16,0,16.0,1,0,0
2,Mumbai Indians,TA Boult,4.0,0,28,2,7.0,11,0,0
