innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Rajasthan Royals,AS Rajpoot,3.0,0,42,0,14.0,5,1,1
1,Rajasthan Royals,JC Archer,4.0,0,34,1,8.5,11,0,1
1,Rajasthan Royals,Kartik Tyagi,4.0,0,36,1,9.0,7,3,0
1,Rajasthan Royals,R Tewatia,2.0,0,13,0,6.5,4,0,0
1,Rajasthan Royals,S Gopal,4.0,0,28,2,7.0,10,0,0
1,Rajasthan Royals,TK Curran,3.0,0,33,0,11.0,4,1,0
2,Mumbai Indians,JJ Bumrah,4.0,0,20,4,5.0,14,0,0
2,Mumbai Indians,JL Pattinson,3.1,1,19,2,6.0,8,0,0
2,Mumbai Indians,KA Pollard,2.0,0,24,1,12.0,3,0,0
2,Mumbai Indians,KH Pandya,2.0,0,22,0,11.0,2,0,0
2,Mumbai Indians,RD Chahar,3.0,0,24,1,8.0,6,1,0
2,Mumbai Indians,TA Boult,4.0,0,26,2,6.5,12,0,0
