innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Sunrisers Hyderabad,1,DA Warner,52,40,JM Bairstow,97,52,160,91
1,Sunrisers Hyderabad,2,JM Bairstow,0,3,Abdul Samad,0,0,0,3
1,Sunrisers Hyderabad,3,MK Pandey,1,2,Abdul Samad,0,1,1,3
1,Sunrisers Hyderabad,4,KS Williamson,4,4,Abdul Samad,8,6,12,10
1,Sunrisers Hyderabad,5,KS Williamson,2,1,PK Garg,0,1,2,2
1,Sunrisers Hyderabad,6,KS Williamson,12,4,Abhishek Sharma,12,6,24,10
1,Sunrisers Hyderabad,7,KS Williamson,2,1,Rashid Khan,0,0,2,1
2,Kings XI Punjab,1,KL Rahul,2,3,MA Agarwal,9,6,11,9
2,Kings XI Punjab,2,KL Rahul,9,9,P Simran Singh,11,8,20,17
2,Kings XI Punjab,3,N Pooran,25,10,KL Rahul,0,4,27,14
2,Kings XI Punjab,4,GJ Maxwell,7,12,N Pooran,39,14,47,26
2,Kings XI Punjab,5,Mandeep Singh,6,6,N Pooran,3,3,10,9
2,Kings XI Punjab,6,Mujeeb Ur Rahman,1,3,N Pooran,10,5,11,8
2,Kings XI Punjab,7,Ravi Bishnoi,0,1,N Pooran,0,5,0,6
2,Kings XI Punjab,8,Mohammed Shami,0,1,Ravi Bishnoi,0,0,0,1
2,Kings XI Punjab,9,Ravi Bishnoi,6,6,SS Cottrell,0,2,6,8
2,Kings XI Punjab,10,Arshdeep Singh,0,3,Ravi Bishnoi,0,0,0,3
