innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Kings XI Punjab,Arshdeep Singh,4.0,1,25,1,6.25,15,2,0
1,Kings XI Punjab,CJ Jordan,4.0,0,37,0,9.25,7,1,0
1,Kings XI Punjab,Mohammed Shami,4.0,0,30,1,7.5,9,0,0
1,Kings XI Punjab,Mujeeb Ur Rahman,4.0,0,44,0,11.0,6,1,0
1,Kings XI Punjab,Ravi Bishnoi,4.0,0,25,1,6.25,7,0,0
2,Kolkata Knight Riders,CV Varun,4.0,0,27,0,6.75,5,0,0
2,Kolkata Knight Riders,KL Nagarkoti,3.0,0,40,0,13.33,2,0,0
2,Kolkata Knight Riders,M Prasidh Krishna,4.0,0,29,3,7.25,12,0,0
2,Kolkata Knight Riders,N Rana,1.0,0,7,0,7.0,0,0,0
2,Kolkata Knight Riders,PJ Cummins,4.0,0,29,0,7.25,6,0,0
2,Kolkata Knight Riders,SP Narine,4.0,0,28,2,7.0,7,0,0
