innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Sunrisers Hyderabad,KK Ahmed,4.0,0,45,2,11.25,8,1,0
1,Sunrisers Hyderabad,Rashid Khan,4.0,0,30,0,7.5,10,0,0
1,Sunrisers Hyderabad,S Nadeem,4.0,0,29,0,7.25,7,0,0
1,Sunrisers Hyderabad,Sandeep Sharma,4.0,0,19,2,4.75,13,0,0
1,Sunrisers Hyderabad,T Natarajan,4.0,0,41,2,10.25,6,1,0
2,Chennai Super Kings,DJ Bravo,3.0,0,25,2,8.33,8,0,0
2,Chennai Super Kings,DL Chahar,4.0,0,28,0,7.0,8,2,0
2,Chennai Super Kings,KV Sharma,4.0,0,37,2,9.25,5,3,0
2,Chennai Super Kings,PP Chawla,1.0,0,8,0,8.0,0,0,0
2,Chennai Super Kings,RA Jadeja,3.0,0,21,1,7.0,5,0,0
2,Chennai Super Kings,SM Curran,3.0,0,18,1,6.0,11,0,0
2,Chennai Super Kings,SN Thakur,2.0,0,10,1,5.0,4,1,0
