innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Mumbai Indians,JJ Bumrah,4.0,0,22,1,5.5,12,1,0
1,Mumbai Indians,KH Pandya,4.0,0,23,0,5.75,10,0,0
1,Mumbai Indians,NM Coulter-Nile,4.0,0,51,1,12.75,8,3,0
1,Mumbai Indians,RD Chahar,4.0,0,18,2,4.5,12,0,0
1,Mumbai Indians,TA Boult,4.0,0,32,1,8.0,10,1,0
2,Kolkata Knight Riders,AD Russell,2.0,0,15,0,7.5,5,0,0
2,Kolkata Knight Riders,CJ Green,2.5,0,24,0,8.47,6,0,0
2,Kolkata Knight Riders,CV Varun,4.0,0,23,1,5.75,10,0,0
2,Kolkata Knight Riders,M Prasidh Krishna,2.0,0,30,0,15.0,2,0,0
2,Kolkata Knight Riders,PJ Cummins,3.0,0,28,0,9.33,8,0,0
2,Kolkata Knight Riders,Shivam Mavi,3.0,0,24,1,8.0,9,0,0
