innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Delhi Capitals,PP Shaw,7,11,1,0,63.64,c GJ Maxwell b JDS Neesham,1
1,Delhi Capitals,S Dhawan,106,61,12,3,173.77,not out,2
1,Delhi Capitals,SS Iyer,14,12,0,1,116.67,c KL Rahul b M Ashwin,3
1,Delhi Capitals,RR Pant,14,20,1,0,70.0,c MA Agarwal b GJ Maxwell,4
1,Delhi Capitals,MP Stoinis,9,10,0,0,90.0,c MA Agarwal b Mohammed Shami,5
1,Delhi Capitals,SO Hetmyer,10,6,0,1,166.67,b Mohammed Shami,6
2,Kings XI Punjab,KL Rahul,15,11,1,1,136.36,c DR Sams b AR Patel,1
2,Kings XI Punjab,MA Agarwal,5,9,0,0,55.56,run out (),2
2,Kings XI Punjab,CH Gayle,29,13,3,2,223.08,b R Ashwin,3
2,Kings XI Punjab,N Pooran,53,28,6,3,189.29,c RR Pant b K Rabada,4
2,Kings XI Punjab,GJ Maxwell,32,24,3,0,133.33,c RR Pant b K Rabada,5
2,Kings XI Punjab,DJ Hooda,15,22,1,0,68.18,not out,6
2,Kings XI Punjab,JDS Neesham,10,8,0,1,125.0,not out,7
