innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Kolkata Knight Riders,1,1,Shubman Gill,CH Morris,RA Tripathi,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,2.wides,Shubman Gill,CH Morris,RA Tripathi,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,2,Shubman Gill,CH Morris,RA Tripathi,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,3,RA Tripathi,CH Morris,Shubman Gill,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,4,RA Tripathi,CH Morris,Shubman Gill,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,5,Shubman Gill,CH Morris,RA Tripathi,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,1,6,Shubman Gill,CH Morris,RA Tripathi,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,1,RA Tripathi,Mohammed Siraj,Shubman Gill,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,2,RA Tripathi,Mohammed Siraj,Shubman Gill,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,3,RA Tripathi,Mohammed Siraj,Shubman Gill,0,0,0,,0,0,0,0,0,True,caught,RA Tripathi,AB de Villiers,powerplay
1,Kolkata Knight Riders,2,4,N Rana,Mohammed Siraj,Shubman Gill,0,0,0,,0,0,0,0,0,True,bowled,N Rana,,powerplay
1,Kolkata Knight Riders,2,5,T Banton,Mohammed Siraj,Shubman Gill,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,2,6,T Banton,Mohammed Siraj,Shubman Gill,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,3,1,Shubman Gill,Navdeep Saini,T Banton,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,3,2,Shubman Gill,Navdeep Saini,T Banton,0,0,0,,0,0,0,0,0,True,caught,Shubman Gill,CH Morris,powerplay
1,Kolkata Knight Riders,3,3,T Banton,Navdeep Saini,KD Karthik,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,3,4,T Banton,Navdeep Saini,KD Karthik,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,3,5,T Banton,Navdeep Saini,KD Karthik,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,3,6,T Banton,Navdeep Saini,KD Karthik,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,4,1,KD Karthik,Mohammed Siraj,T Banton,0,1,1,legbyes,0,0,0,1,0,False,,,,powerplay
1,Kolkata Knight Riders,4,2,T Banton,Mohammed Siraj,KD Karthik,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,4,3,T Banton,Mohammed Siraj,KD Karthik,0,0,0,,0,0,0,0,0,True,caught,T Banton,AB de Villiers,powerplay
1,Kolkata Knight Riders,4,4,EJG Morgan,Mohammed Siraj,KD Karthik,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,4,5,EJG Morgan,Mohammed Siraj,KD Karthik,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,4,6,EJG Morgan,Mohammed Siraj,KD Karthik,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,5,1,KD Karthik,CH Morris,EJG Morgan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,5,2,KD Karthik,CH Morris,EJG Morgan,0,1,1,legbyes,0,0,0,1,0,False,,,,powerplay
1,Kolkata Knight Riders,5,3,EJG Morgan,CH Morris,KD Karthik,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Kolkata Knight Riders,5,4,EJG Morgan,CH Morris,KD Karthik,0,0,0,,0,0,0,0,0,False,,,,powerplay
