innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Delhi Capitals,A Nortje,4.0,0,27,2,6.75,9,0,0
1,Delhi Capitals,AR Patel,1.0,0,7,0,7.0,3,0,0
1,Delhi Capitals,K Rabada,4.0,0,33,2,8.25,10,2,0
1,Delhi Capitals,MP Stoinis,4.0,0,41,2,10.25,8,2,0
1,Delhi Capitals,R Ashwin,3.0,0,45,0,15.0,2,0,0
1,Delhi Capitals,TU Deshpande,4.0,0,40,0,10.0,10,1,0
2,Kolkata Knight Riders,CV Varun,4.0,0,20,5,5.0,9,1,0
2,Kolkata Knight Riders,KL Nagarkoti,2.0,0,11,0,5.5,7,0,0
2,Kolkata Knight Riders,LH Ferguson,4.0,0,30,1,7.5,8,0,0
2,Kolkata Knight Riders,M Prasidh Krishna,2.0,0,19,0,9.5,4,1,2
2,Kolkata Knight Riders,PJ Cummins,4.0,0,17,3,4.25,16,0,0
2,Kolkata Knight Riders,SP Narine,4.0,0,37,0,9.25,4,1,0
