innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Kolkata Knight Riders,Shubman Gill,36,24,6,0,150.0,c JC Buttler b R Tewatia,1
1,Kolkata Knight Riders,N Rana,0,1,0,0,0.0,c SV Samson b JC Archer,2
1,Kolkata Knight Riders,RA Tripathi,39,34,4,2,114.71,c RV Uthappa b S Gopal,3
1,Kolkata Knight Riders,SP Narine,0,2,0,0,0.0,c BA Stokes b R Tewatia,4
1,Kolkata Knight Riders,EJG Morgan,68,35,5,6,194.29,not out,5
1,Kolkata Knight Riders,KD Karthik,0,1,0,0,0.0,c SPD Smith b R Tewatia,6
1,Kolkata Knight Riders,AD Russell,25,11,1,3,227.27,c DA Miller b Kartik Tyagi,7
1,Kolkata Knight Riders,PJ Cummins,15,11,0,1,136.36,c SV Samson b Kartik Tyagi,8
1,Kolkata Knight Riders,KL Nagarkoti,1,1,0,0,100.0,not out,9
2,Rajasthan Royals,RV Uthappa,6,2,0,1,300.0,c KL Nagarkoti b PJ Cummins,1
2,Rajasthan Royals,BA Stokes,18,11,2,1,163.64,c KD Karthik b PJ Cummins,2
2,Rajasthan Royals,SPD Smith,4,4,1,0,100.0,b PJ Cummins,3
2,Rajasthan Royals,SV Samson,1,4,0,0,25.0,c KD Karthik b Shivam Mavi,4
2,Rajasthan Royals,JC Buttler,35,22,4,1,159.09,c PJ Cummins b CV Varun,5
2,Rajasthan Royals,R Parag,0,7,0,0,0.0,c KD Karthik b PJ Cummins,6
2,Rajasthan Royals,R Tewatia,31,27,2,1,114.81,c KD Karthik b CV Varun,7
2,Rajasthan Royals,S Gopal,23,23,2,0,100.0,not out,8
2,Rajasthan Royals,JC Archer,6,9,0,0,66.67,c Shivam Mavi b KL Nagarkoti,9
2,Rajasthan Royals,Kartik Tyagi,2,3,0,0,66.67,c & b Shivam Mavi,10
2,Rajasthan Royals,VR Aaron,0,8,0,0,0.0,not out,11
