innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Kolkata Knight Riders,1,Shubman Gill,1,1,N Rana,0,1,1,2
1,Kolkata Knight Riders,2,RA Tripathi,34,26,Shubman Gill,35,23,72,49
1,Kolkata Knight Riders,3,RA Tripathi,1,1,SP Narine,0,2,1,3
1,Kolkata Knight Riders,4,EJG Morgan,15,11,RA Tripathi,4,7,20,18
1,Kolkata Knight Riders,5,EJG Morgan,5,2,KD Karthik,0,1,5,3
1,Kolkata Knight Riders,6,AD Russell,25,11,EJG Morgan,20,7,45,18
1,Kolkata Knight Riders,7,PJ Cummins,15,11,EJG Morgan,22,12,40,23
1,Kolkata Knight Riders,8,KL Nagarkoti,1,1,EJG Morgan,6,3,7,4
2,Rajasthan Royals,1,RV Uthappa,6,2,BA Stokes,11,4,19,6
2,Rajasthan Royals,2,BA Stokes,7,7,SPD Smith,0,0,8,7
2,Rajasthan Royals,3,SV Samson,1,1,SPD Smith,4,4,5,5
2,Rajasthan Royals,4,SV Samson,0,3,JC Buttler,0,0,0,3
2,Rajasthan Royals,5,R Parag,0,7,JC Buttler,5,2,5,9
2,Rajasthan Royals,6,JC Buttler,30,20,R Tewatia,12,14,43,34
2,Rajasthan Royals,7,S Gopal,6,11,R Tewatia,19,13,25,24
2,Rajasthan Royals,8,S Gopal,14,8,JC Archer,6,9,20,17
2,Rajasthan Royals,9,S Gopal,2,3,Kartik Tyagi,2,3,4,6
2,Rajasthan Royals,10,VR Aaron,0,8,S Gopal,1,1,2,9
