innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Mumbai Indians,RG Sharma,4,7,0,0,57.14,c DA Warner b Sandeep Sharma,1
1,Mumbai Indians,Q de Kock,25,13,2,2,192.31,b Sandeep Sharma,2
1,Mumbai Indians,SA Yadav,36,29,5,0,124.14,st WP Saha b S Nadeem,3
1,Mumbai Indians,Ishan Kishan,33,30,1,2,110.0,b Sandeep Sharma,4
1,Mumbai Indians,KH Pandya,0,3,0,0,0.0,c KS Williamson b S Nadeem,5
1,Mumbai Indians,SS Tiwary,1,3,0,0,33.33,c WP Saha b Rashid Khan,6
1,Mumbai Indians,KA Pollard,41,25,2,4,164.0,b JO Holder,7
1,Mumbai Indians,NM Coulter-Nile,1,3,0,0,33.33,c PK Garg b JO Holder,8
1,Mumbai Indians,JL Pattinson,4,5,0,0,80.0,not out,9
1,Mumbai Indians,DS Kulkarni,3,2,0,0,150.0,not out,10
2,Sunrisers Hyderabad,DA Warner,85,58,10,1,146.55,not out,1
2,Sunrisers Hyderabad,WP Saha,58,45,7,1,128.89,not out,2
