innings,team,wicket_number,player_out,score,over
1,Delhi Capitals,1,MP Stoinis,0,1.1
1,Delhi Capitals,2,AM Rahane,16,3.4
1,Delhi Capitals,3,S Dhawan,22,4.3
1,Delhi Capitals,4,RR Pant,118,15.6
1,Delhi Capitals,5,SO Hetmyer,137,18.2
1,Delhi Capitals,6,AR Patel,149,20.2
1,Delhi Capitals,7,K Rabada,156,20.6
2,Mumbai Indians,1,Q de Kock,45,5.1
2,Mumbai Indians,2,SA Yadav,90,11.5
2,Mumbai Indians,3,RG Sharma,137,17.2
2,Mumbai Indians,4,KA Pollard,147,18.1
2,Mumbai Indians,5,HH Pandya,156,19.3
