match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2020-09-22,Chennai Super Kings,Sharjah Cricket Stadium,5,9,0,0,55.56,c F du Plessis b PP Chawla,5
9,2020-09-27,Kings XI Punjab,Sharjah Cricket Stadium,9,4,2,0,225.0,c N Pooran b Mohammed Shami,5
12,2020-09-30,Kolkata Knight Riders,Dubai International Cricket Stadium,2,7,0,0,28.57,c Shivam Mavi b KL Nagarkoti,4
15,2020-10-03,Royal Challengers Bangalore,Sheikh Zayed Stadium,17,22,1,0,77.27,c I Udana b YS Chahal,4
26,2020-10-11,Sunrisers Hyderabad,Dubai International Cricket Stadium,18,15,1,1,120.0,lbw b Rashid Khan,5
30,2020-10-14,Delhi Capitals,Dubai International Cricket Stadium,32,27,3,1,118.52,b A Nortje,5
33,2020-10-17,Royal Challengers Bangalore,Dubai International Cricket Stadium,41,22,7,1,186.36,c AJ Finch b YS Chahal,1
37,2020-10-19,Chennai Super Kings,Sheikh Zayed Stadium,4,9,0,0,44.44,c MS Dhoni b JR Hazlewood,2
40,2020-10-22,Sunrisers Hyderabad,Dubai International Cricket Stadium,19,13,2,1,146.15,run out (),1
45,2020-10-25,Mumbai Indians,Sheikh Zayed Stadium,13,11,2,0,118.18,c KA Pollard b JL Pattinson,1
50,2020-10-30,Kings XI Punjab,Sheikh Zayed Stadium,30,23,1,2,130.43,c N Pooran b M Ashwin,1
54,2020-11-01,Kolkata Knight Riders,Dubai International Cricket Stadium,6,2,0,1,300.0,c KL Nagarkoti b PJ Cummins,1
