innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Mumbai Indians,1,Q de Kock,17,15,RG Sharma,32,25,55,39
1,Mumbai Indians,2,SA Yadav,10,6,Q de Kock,6,6,16,12
1,Mumbai Indians,3,Ishan Kishan,8,14,Q de Kock,17,18,27,32
1,Mumbai Indians,4,Ishan Kishan,4,7,KA Pollard,10,11,16,18
1,Mumbai Indians,5,HH Pandya,7,5,KA Pollard,9,6,17,11
1,Mumbai Indians,6,KA Pollard,16,5,KH Pandya,3,3,19,8
2,Sunrisers Hyderabad,1,DA Warner,23,22,JM Bairstow,43,22,67,44
2,Sunrisers Hyderabad,2,MK Pandey,2,7,DA Warner,1,3,4,10
2,Sunrisers Hyderabad,3,DA Warner,12,9,Virat Singh,6,6,19,15
2,Sunrisers Hyderabad,4,V Shankar,5,10,Virat Singh,5,6,12,16
2,Sunrisers Hyderabad,5,Abhishek Sharma,2,4,V Shankar,0,0,2,4
2,Sunrisers Hyderabad,6,Abdul Samad,7,8,V Shankar,18,9,25,17
2,Sunrisers Hyderabad,7,V Shankar,1,1,Rashid Khan,0,1,1,2
2,Sunrisers Hyderabad,8,V Shankar,4,5,B Kumar,0,0,4,5
2,Sunrisers Hyderabad,9,B Kumar,1,2,Mujeeb Ur Rahman,0,0,1,2
2,Sunrisers Hyderabad,10,KK Ahmed,1,2,Mujeeb Ur Rahman,1,1,2,3
