innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Delhi Capitals,Avesh Khan,4.0,0,33,1,8.25,8,0,0
1,Delhi Capitals,CR Woakes,4.0,0,42,1,10.5,8,0,1
1,Delhi Capitals,K Rabada,4.0,0,43,1,10.75,7,0,0
1,Delhi Capitals,LI Meriwala,3.0,0,32,1,10.67,6,0,1
1,Delhi Capitals,Lalit Yadav,1.0,0,11,0,11.0,1,0,0
1,Delhi Capitals,R Ashwin,4.0,0,28,0,7.0,7,0,0
2,Punjab Kings,Arshdeep Singh,3.0,0,22,1,7.33,2,0,0
2,Punjab Kings,DJ Hooda,2.0,0,18,0,9.0,1,0,0
2,Punjab Kings,JA Richardson,4.0,0,41,2,10.25,8,1,0
2,Punjab Kings,Jalaj S Saxena,3.0,0,27,0,9.0,5,0,0
2,Punjab Kings,Mohammed Shami,4.0,0,53,0,13.25,8,0,2
2,Punjab Kings,RP Meredith,2.2,0,35,1,15.0,3,1,1
