innings,team,wicket_number,player_out,score,over
1,Chennai Super Kings,1,RD Gaikwad,74,10.1
1,Chennai Super Kings,2,SK Raina,111,14.4
1,Chennai Super Kings,3,F du Plessis,111,14.5
1,Chennai Super Kings,4,AT Rayudu,142,18.3
2,Royal Challengers Bangalore,1,V Kohli,44,4.1
2,Royal Challengers Bangalore,2,D Padikkal,54,5.6
2,Royal Challengers Bangalore,3,Washington Sundar,65,7.2
2,Royal Challengers Bangalore,4,GJ Maxwell,79,9.5
2,Royal Challengers Bangalore,5,DT Christian,81,10.4
2,Royal Challengers Bangalore,6,AB de Villiers,83,11.1
2,Royal Challengers Bangalore,7,HV Patel,89,12.6
2,Royal Challengers Bangalore,8,Navdeep Saini,94,14.1
2,Royal Challengers Bangalore,9,KA Jamieson,103,16.6
