innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Punjab Kings,1,KL Rahul,19,20,MA Agarwal,15,14,36,34
1,Punjab Kings,2,MA Agarwal,2,4,CH Gayle,0,1,2,5
1,Punjab Kings,3,DJ Hooda,1,4,MA Agarwal,2,3,4,7
1,Punjab Kings,4,N Pooran,5,9,MA Agarwal,12,13,18,22
1,Punjab Kings,5,N Pooran,13,8,MC Henriques,2,3,15,11
1,Punjab Kings,6,M Shahrukh Khan,3,5,N Pooran,1,2,4,7
1,Punjab Kings,7,CJ Jordan,6,9,M Shahrukh Khan,10,9,16,18
1,Punjab Kings,8,CJ Jordan,1,1,Ravi Bishnoi,1,4,3,5
1,Punjab Kings,9,CJ Jordan,23,8,Mohammed Shami,0,1,23,9
1,Punjab Kings,10,Arshdeep Singh,1,1,Mohammed Shami,1,1,2,2
2,Kolkata Knight Riders,1,Shubman Gill,5,3,N Rana,0,1,5,4
2,Kolkata Knight Riders,2,RA Tripathi,0,2,Shubman Gill,4,5,4,7
2,Kolkata Knight Riders,3,SP Narine,0,4,RA Tripathi,6,3,8,7
2,Kolkata Knight Riders,4,EJG Morgan,26,21,RA Tripathi,35,27,66,48
2,Kolkata Knight Riders,5,EJG Morgan,5,10,AD Russell,10,9,15,19
2,Kolkata Knight Riders,6,KD Karthik,12,6,EJG Morgan,16,9,28,15
