innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Kolkata Knight Riders,1,N Rana,15,12,Shubman Gill,10,10,25,22
1,Kolkata Knight Riders,2,RA Tripathi,19,17,Shubman Gill,24,18,44,35
1,Kolkata Knight Riders,3,EJG Morgan,0,2,Shubman Gill,4,3,5,5
1,Kolkata Knight Riders,4,Shubman Gill,1,1,SP Narine,0,1,1,2
1,Kolkata Knight Riders,5,AD Russell,3,8,Shubman Gill,4,6,7,14
1,Kolkata Knight Riders,6,KD Karthik,14,10,AD Russell,13,10,27,20
1,Kolkata Knight Riders,7,PJ Cummins,11,13,AD Russell,29,9,45,22
2,Delhi Capitals,1,PP Shaw,82,36,S Dhawan,46,47,132,83
2,Delhi Capitals,2,RR Pant,12,5,PP Shaw,0,5,14,9
2,Delhi Capitals,3,RR Pant,4,3,MP Stoinis,0,0,4,3
2,Delhi Capitals,4,SO Hetmyer,0,1,MP Stoinis,6,3,6,4
