innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Chennai Super Kings,RD Gaikwad,4,4,1,0,100.0,c HH Pandya b TA Boult,1
1,Chennai Super Kings,F du Plessis,50,28,2,4,178.57,c JJ Bumrah b KA Pollard,2
1,Chennai Super Kings,MM Ali,58,36,5,5,161.11,c Q de Kock b JJ Bumrah,3
1,Chennai Super Kings,SK Raina,2,4,0,0,50.0,c KH Pandya b KA Pollard,4
1,Chennai Super Kings,AT Rayudu,72,27,4,7,266.67,not out,5
1,Chennai Super Kings,RA Jadeja,22,22,2,0,100.0,not out,6
2,Mumbai Indians,Q de Kock,38,28,4,1,135.71,c & b MM Ali,1
2,Mumbai Indians,RG Sharma,35,24,4,1,145.83,c RD Gaikwad b SN Thakur,2
2,Mumbai Indians,SA Yadav,3,3,0,0,100.0,c MS Dhoni b RA Jadeja,3
2,Mumbai Indians,KH Pandya,32,23,2,2,139.13,lbw b SM Curran,4
2,Mumbai Indians,KA Pollard,87,34,6,8,255.88,not out,5
2,Mumbai Indians,HH Pandya,16,7,0,2,228.57,c F du Plessis b SM Curran,6
2,Mumbai Indians,JDS Neesham,0,1,0,0,0.0,c SN Thakur b SM Curran,7
