innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Delhi Capitals,A Nortje,4.0,0,12,2,3.0,12,0,0
1,Delhi Capitals,AR Patel,4.0,0,21,2,5.25,9,0,0
1,Delhi Capitals,Avesh Khan,4.0,0,27,0,6.75,12,2,1
1,Delhi Capitals,K Rabada,4.0,0,37,3,9.25,13,0,1
1,Delhi Capitals,MP Stoinis,1.1,0,8,0,6.86,0,0,0
1,Delhi Capitals,R Ashwin,2.5,0,22,0,7.76,4,1,1
2,Sunrisers Hyderabad,B Kumar,3.0,0,21,0,7.0,8,0,0
2,Sunrisers Hyderabad,JO Holder,3.5,0,33,0,8.61,9,1,0
2,Sunrisers Hyderabad,KK Ahmed,4.0,0,33,1,8.25,9,2,0
2,Sunrisers Hyderabad,Rashid Khan,4.0,0,26,1,6.5,9,1,0
2,Sunrisers Hyderabad,Sandeep Sharma,3.0,0,26,0,8.67,8,0,0
