innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Delhi Capitals,1,1,PP Shaw,Mustafizur Rahman,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,2,S Dhawan,Mustafizur Rahman,PP Shaw,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,3,PP Shaw,Mustafizur Rahman,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,4,PP Shaw,Mustafizur Rahman,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,5,S Dhawan,Mustafizur Rahman,PP Shaw,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,6,PP Shaw,Mustafizur Rahman,S Dhawan,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,1,S Dhawan,MK Lomror,PP Shaw,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,2,S Dhawan,MK Lomror,PP Shaw,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,3,S Dhawan,MK Lomror,PP Shaw,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,4,S Dhawan,MK Lomror,PP Shaw,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,5,PP Shaw,MK Lomror,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,6,PP Shaw,MK Lomror,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,1,S Dhawan,C Sakariya,PP Shaw,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,2,PP Shaw,C Sakariya,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,3,PP Shaw,C Sakariya,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,4,PP Shaw,C Sakariya,S Dhawan,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,5,PP Shaw,C Sakariya,S Dhawan,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,6,PP Shaw,C Sakariya,S Dhawan,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,4,1,S Dhawan,Kartik Tyagi,PP Shaw,0,0,0,,0,0,0,0,0,True,bowled,S Dhawan,,powerplay
1,Delhi Capitals,4,2,SS Iyer,Kartik Tyagi,PP Shaw,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,4,3,SS Iyer,Kartik Tyagi,PP Shaw,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,4,4.wides,SS Iyer,Kartik Tyagi,PP Shaw,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,4,4,SS Iyer,Kartik Tyagi,PP Shaw,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,4,5,SS Iyer,Kartik Tyagi,PP Shaw,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,4,6,SS Iyer,Kartik Tyagi,PP Shaw,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,5,1,PP Shaw,C Sakariya,SS Iyer,0,0,0,,0,0,0,0,0,True,caught,PP Shaw,LS Livingstone,powerplay
1,Delhi Capitals,5,2,RR Pant,C Sakariya,SS Iyer,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,5,3,SS Iyer,C Sakariya,RR Pant,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,5,4,RR Pant,C Sakariya,SS Iyer,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,5,5,SS Iyer,C Sakariya,RR Pant,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,5,6,RR Pant,C Sakariya,SS Iyer,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,6,1,SS Iyer,Kartik Tyagi,RR Pant,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,6,2.wides,SS Iyer,Kartik Tyagi,RR Pant,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,6,2,SS Iyer,Kartik Tyagi,RR Pant,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,6,3,RR Pant,Kartik Tyagi,SS Iyer,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,6,4,RR Pant,Kartik Tyagi,SS Iyer,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,6,5,RR Pant,Kartik Tyagi,SS Iyer,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,6,6,RR Pant,Kartik Tyagi,SS Iyer,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,7,1,RR Pant,T Shamsi,SS Iyer,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Capitals,7,2,SS Iyer,T Shamsi,RR Pant,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Capitals,7,3,RR Pant,T Shamsi,SS Iyer,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Capitals,7,4,SS Iyer,T Shamsi,RR Pant,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Capitals,7,5,RR Pant,T Shamsi,SS Iyer,1,0,1,,0,0,0,0,0,False,,,,middle
1,Delhi Capitals,7,6,SS Iyer,T Shamsi,RR Pant,1,0,1,,0,0,0,0,0,False,,,,middle
