innings,team,wicket_number,player_out,score,over
1,Kolkata Knight Riders,1,Shubman Gill,10,1.6
1,Kolkata Knight Riders,2,VR Iyer,50,6.1
1,Kolkata Knight Riders,3,EJG Morgan,70,10.1
1,Kolkata Knight Riders,4,RA Tripathi,89,13.2
1,Kolkata Knight Riders,5,AD Russell,125,17.4
1,Kolkata Knight Riders,6,KD Karthik,166,20.4
2,Chennai Super Kings,1,RD Gaikwad,74,9.2
2,Chennai Super Kings,2,F du Plessis,102,12.3
2,Chennai Super Kings,3,AT Rayudu,119,15.2
2,Chennai Super Kings,4,MM Ali,138,17.4
2,Chennai Super Kings,5,SK Raina,142,18.1
2,Chennai Super Kings,6,MS Dhoni,142,18.3
2,Chennai Super Kings,7,SM Curran,168,20.1
2,Chennai Super Kings,8,RA Jadeja,171,20.5
