innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Delhi Capitals,1,SPD Smith,11,10,S Dhawan,24,20,35,30
1,Delhi Capitals,2,SPD Smith,3,3,SS Iyer,1,5,5,8
1,Delhi Capitals,3,RR Pant,11,15,SPD Smith,25,21,37,36
1,Delhi Capitals,4,SO Hetmyer,4,5,RR Pant,7,4,11,9
1,Delhi Capitals,5,Lalit Yadav,0,3,RR Pant,1,1,1,4
1,Delhi Capitals,6,AR Patel,0,5,RR Pant,1,1,3,6
1,Delhi Capitals,7,R Ashwin,9,8,RR Pant,18,14,28,22
1,Delhi Capitals,8,RR Pant,1,1,K Rabada,0,0,2,1
1,Delhi Capitals,9,Avesh Khan,5,3,K Rabada,0,1,5,4
1,Delhi Capitals,10,Avesh Khan,5,3,K Rabada,0,1,5,4
2,Kolkata Knight Riders,1,Shubman Gill,13,12,VR Iyer,14,15,28,27
2,Kolkata Knight Riders,2,RA Tripathi,9,5,Shubman Gill,6,3,15,8
2,Kolkata Knight Riders,3,N Rana,12,13,Shubman Gill,11,18,24,31
2,Kolkata Knight Riders,4,EJG Morgan,0,2,N Rana,0,0,0,2
2,Kolkata Knight Riders,5,KD Karthik,12,14,N Rana,17,6,29,20
2,Kolkata Knight Riders,6,SP Narine,21,10,N Rana,2,4,26,13
2,Kolkata Knight Riders,7,N Rana,1,2,TG Southee,3,5,4,7
2,Kolkata Knight Riders,8,N Rana,4,2,LH Ferguson,0,0,4,2
