innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Mumbai Indians,RG Sharma,7,10,1,0,70.0,c K Rabada b Avesh Khan,1
1,Mumbai Indians,Q de Kock,19,18,1,1,105.56,c A Nortje b AR Patel,2
1,Mumbai Indians,SA Yadav,33,26,2,2,126.92,c K Rabada b AR Patel,3
1,Mumbai Indians,SS Tiwary,15,18,1,0,83.33,c RR Pant b AR Patel,4
1,Mumbai Indians,KA Pollard,6,9,0,0,66.67,b A Nortje,5
1,Mumbai Indians,HH Pandya,17,18,2,0,94.44,b Avesh Khan,6
1,Mumbai Indians,KH Pandya,13,15,1,1,86.67,not out,7
1,Mumbai Indians,NM Coulter-Nile,1,2,0,0,50.0,b Avesh Khan,8
1,Mumbai Indians,J Yadav,11,4,1,1,275.0,c SPD Smith b R Ashwin,9
1,Mumbai Indians,JJ Bumrah,1,1,0,0,100.0,not out,10
2,Delhi Capitals,PP Shaw,6,7,1,0,85.71,lbw b KH Pandya,1
2,Delhi Capitals,S Dhawan,8,7,0,1,114.29,run out (KA Pollard),2
2,Delhi Capitals,SPD Smith,9,8,0,1,112.5,b NM Coulter-Nile,3
2,Delhi Capitals,RR Pant,26,22,3,1,118.18,c HH Pandya b J Yadav,4
2,Delhi Capitals,SS Iyer,33,33,2,0,100.0,not out,5
2,Delhi Capitals,AR Patel,9,9,1,0,100.0,lbw b TA Boult,6
2,Delhi Capitals,SO Hetmyer,15,8,2,0,187.5,c RG Sharma b JJ Bumrah,7
2,Delhi Capitals,R Ashwin,20,21,0,1,95.24,not out,8
