innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Sunrisers Hyderabad,JJ Roy,44,38,5,0,115.79,c & b DT Christian,1
1,Sunrisers Hyderabad,Abhishek Sharma,13,10,1,1,130.0,c GJ Maxwell b GHS Garton,2
1,Sunrisers Hyderabad,KS Williamson,31,29,4,0,106.9,b HV Patel,3
1,Sunrisers Hyderabad,PK Garg,15,11,0,1,136.36,c AB de Villiers b DT Christian,4
1,Sunrisers Hyderabad,Abdul Samad,1,3,0,0,33.33,lbw b YS Chahal,5
1,Sunrisers Hyderabad,WP Saha,10,8,1,0,125.0,c AB de Villiers b HV Patel,6
1,Sunrisers Hyderabad,JO Holder,16,13,2,0,123.08,c DT Christian b HV Patel,7
1,Sunrisers Hyderabad,Rashid Khan,7,9,1,0,77.78,not out,8
2,Royal Challengers Bangalore,V Kohli,5,4,1,0,125.0,lbw b B Kumar,1
2,Royal Challengers Bangalore,D Padikkal,41,52,4,0,78.85,c Abdul Samad b Rashid Khan,2
2,Royal Challengers Bangalore,DT Christian,1,4,0,0,25.0,c KS Williamson b S Kaul,3
2,Royal Challengers Bangalore,KS Bharat,12,10,1,1,120.0,c WP Saha b Umran Malik,4
2,Royal Challengers Bangalore,GJ Maxwell,40,25,3,2,160.0,run out (KS Williamson),5
2,Royal Challengers Bangalore,AB de Villiers,19,13,1,1,146.15,not out,6
2,Royal Challengers Bangalore,Shahbaz Ahmed,14,9,2,0,155.56,c KS Williamson b JO Holder,7
2,Royal Challengers Bangalore,GHS Garton,2,3,0,0,66.67,not out,8
