innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Royal Challengers Bangalore,DT Christian,2.0,0,19,1,9.5,5,0,0
1,Royal Challengers Bangalore,GHS Garton,3.0,0,20,0,6.67,5,0,1
1,Royal Challengers Bangalore,GJ Maxwell,3.0,0,29,0,9.67,3,2,0
1,Royal Challengers Bangalore,HV Patel,4.0,0,34,1,8.5,8,3,0
1,Royal Challengers Bangalore,Mohammed Siraj,4.0,0,25,2,6.25,9,0,0
1,Royal Challengers Bangalore,YS Chahal,4.0,0,34,1,8.5,5,0,0
2,Delhi Capitals,A Nortje,4.0,0,24,2,6.0,8,1,0
2,Delhi Capitals,AR Patel,4.0,0,39,1,9.75,8,0,0
2,Delhi Capitals,Avesh Khan,4.0,0,31,0,7.75,10,2,0
2,Delhi Capitals,K Rabada,4.0,0,37,0,9.25,4,0,0
2,Delhi Capitals,R Ashwin,1.0,0,11,0,11.0,1,0,0
2,Delhi Capitals,RV Patel,3.0,0,22,0,7.33,5,2,0
