innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Kolkata Knight Riders,CV Varun,4.0,0,38,0,9.5,5,0,1
1,Kolkata Knight Riders,LH Ferguson,4.0,0,56,0,14.0,4,2,0
1,Kolkata Knight Riders,SP Narine,4.0,0,26,2,6.5,6,1,0
1,Kolkata Knight Riders,Shakib Al Hasan,3.0,0,33,0,11.0,5,0,0
1,Kolkata Knight Riders,Shivam Mavi,4.0,0,32,1,8.0,8,0,0
1,Kolkata Knight Riders,VR Iyer,1.0,0,5,0,5.0,1,0,0
2,Chennai Super Kings,DJ Bravo,4.0,0,29,1,7.25,9,0,0
2,Chennai Super Kings,DL Chahar,4.0,0,32,1,8.0,10,1,0
2,Chennai Super Kings,JR Hazlewood,4.0,0,29,2,7.25,10,2,0
2,Chennai Super Kings,RA Jadeja,4.0,0,37,2,9.25,9,1,0
2,Chennai Super Kings,SN Thakur,4.0,0,38,3,9.5,11,4,1
