match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
2,2021-04-10,Delhi Capitals,"Wankhede Stadium, Mumbai",3.0,0,33,0,11.0,2,0,1
8,2021-04-16,Punjab Kings,"Wankhede Stadium, Mumbai",3.0,0,17,1,5.67,6,0,0
12,2021-04-19,Rajasthan Royals,"Wankhede Stadium, Mumbai",3.0,0,7,3,2.33,10,0,0
23,2021-04-28,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",2.0,0,16,0,8.0,2,0,0
27,2021-05-01,Mumbai Indians,"Arun Jaitley Stadium, Delhi",1.0,0,1,1,1.0,5,0,0
30,2021-09-19,Mumbai Indians,Dubai International Cricket Stadium,3.0,0,16,0,5.33,4,0,0
44,2021-09-30,Sunrisers Hyderabad,Sharjah Cricket Stadium,1.0,0,5,0,5.0,2,0,0
47,2021-10-02,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",2.2,0,23,0,9.86,4,0,0
50,2021-10-04,Delhi Capitals,Dubai International Cricket Stadium,3.0,0,16,0,5.33,8,0,0
57,2021-10-10,Delhi Capitals,Dubai International Cricket Stadium,4.0,0,27,1,6.75,5,1,0
