match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
4,Rajasthan Royals,KL Rahul,91,50,7,5,182.0,c R Tewatia b C Sakariya
4,Rajasthan Royals,MA Agarwal,14,9,2,0,155.56,c SV Samson b C Sakariya
4,Rajasthan Royals,CH Gayle,40,28,4,2,142.86,c BA Stokes b R Parag
4,Rajasthan Royals,DJ Hooda,64,28,4,6,228.57,c R Parag b CH Morris
4,Rajasthan Royals,N Pooran,0,1,0,0,0.0,c C Sakariya b CH Morris
4,Rajasthan Royals,M Shahrukh Khan,6,4,1,0,150.0,not out
4,Rajasthan Royals,JA Richardson,0,2,0,0,0.0,c CH Morris b C Sakariya
8,Chennai Super Kings,KL Rahul,5,7,1,0,71.43,run out ()
8,Chennai Super Kings,MA Agarwal,0,2,0,0,0.0,b DL Chahar
8,Chennai Super Kings,CH Gayle,10,10,2,0,100.0,c RA Jadeja b DL Chahar
8,Chennai Super Kings,DJ Hooda,10,15,1,0,66.67,c F du Plessis b DL Chahar
8,Chennai Super Kings,N Pooran,0,2,0,0,0.0,c SN Thakur b DL Chahar
8,Chennai Super Kings,M Shahrukh Khan,47,36,4,2,130.56,c RA Jadeja b SM Curran
8,Chennai Super Kings,JA Richardson,15,22,2,0,68.18,b MM Ali
8,Chennai Super Kings,M Ashwin,6,14,0,0,42.86,c F du Plessis b DJ Bravo
8,Chennai Super Kings,Mohammed Shami,9,12,0,0,75.0,not out
11,Delhi Capitals,KL Rahul,61,51,7,2,119.61,c MP Stoinis b K Rabada
11,Delhi Capitals,MA Agarwal,69,36,7,4,191.67,c S Dhawan b LI Meriwala
11,Delhi Capitals,CH Gayle,11,9,0,1,122.22,c RV Patel b CR Woakes
11,Delhi Capitals,DJ Hooda,22,13,0,2,169.23,not out
11,Delhi Capitals,N Pooran,9,8,1,0,112.5,c K Rabada b Avesh Khan
11,Delhi Capitals,M Shahrukh Khan,15,5,2,1,300.0,not out
14,Sunrisers Hyderabad,KL Rahul,4,6,0,0,66.67,c KM Jadhav b B Kumar
14,Sunrisers Hyderabad,MA Agarwal,22,25,2,0,88.0,c Rashid Khan b KK Ahmed
14,Sunrisers Hyderabad,CH Gayle,15,17,2,0,88.24,lbw b Rashid Khan
14,Sunrisers Hyderabad,N Pooran,0,0,0,0,0.0,run out ()
14,Sunrisers Hyderabad,DJ Hooda,13,11,2,0,118.18,lbw b Abhishek Sharma
14,Sunrisers Hyderabad,MC Henriques,14,17,0,0,82.35,st JM Bairstow b Abhishek Sharma
14,Sunrisers Hyderabad,M Shahrukh Khan,22,17,0,2,129.41,c Abhishek Sharma b KK Ahmed
14,Sunrisers Hyderabad,FA Allen,6,11,0,0,54.55,c DA Warner b KK Ahmed
14,Sunrisers Hyderabad,M Ashwin,9,10,1,0,90.0,c JM Bairstow b S Kaul
14,Sunrisers Hyderabad,Mohammed Shami,3,3,0,0,100.0,run out ()
14,Sunrisers Hyderabad,Arshdeep Singh,1,2,0,0,50.0,not out
17,Mumbai Indians,KL Rahul,60,52,3,3,115.38,not out
17,Mumbai Indians,MA Agarwal,25,20,4,1,125.0,c SA Yadav b RD Chahar
17,Mumbai Indians,CH Gayle,43,35,5,2,122.86,not out
21,Kolkata Knight Riders,KL Rahul,19,20,2,1,95.0,c SP Narine b PJ Cummins
21,Kolkata Knight Riders,MA Agarwal,31,34,1,2,91.18,c RA Tripathi b SP Narine
21,Kolkata Knight Riders,CH Gayle,0,1,0,0,0.0,c KD Karthik b Shivam Mavi
21,Kolkata Knight Riders,DJ Hooda,1,4,0,0,25.0,c EJG Morgan b M Prasidh Krishna
21,Kolkata Knight Riders,N Pooran,19,19,1,1,100.0,b CV Varun
21,Kolkata Knight Riders,MC Henriques,2,3,0,0,66.67,b SP Narine
21,Kolkata Knight Riders,M Shahrukh Khan,13,14,0,1,92.86,c EJG Morgan b M Prasidh Krishna
21,Kolkata Knight Riders,CJ Jordan,30,18,1,3,166.67,b M Prasidh Krishna
21,Kolkata Knight Riders,Ravi Bishnoi,1,4,0,0,25.0,c EJG Morgan b PJ Cummins
21,Kolkata Knight Riders,Mohammed Shami,1,2,0,0,50.0,not out
21,Kolkata Knight Riders,Arshdeep Singh,1,1,0,0,100.0,not out
26,Royal Challengers Bangalore,KL Rahul,91,57,7,5,159.65,not out
26,Royal Challengers Bangalore,P Simran Singh,7,7,1,0,100.0,c V Kohli b KA Jamieson
26,Royal Challengers Bangalore,CH Gayle,46,24,6,2,191.67,c AB de Villiers b DR Sams
26,Royal Challengers Bangalore,N Pooran,0,3,0,0,0.0,c Shahbaz Ahmed b KA Jamieson
26,Royal Challengers Bangalore,DJ Hooda,5,9,0,0,55.56,c RM Patidar b Shahbaz Ahmed
26,Royal Challengers Bangalore,M Shahrukh Khan,0,3,0,0,0.0,b YS Chahal
26,Royal Challengers Bangalore,Harpreet Brar,25,17,1,2,147.06,not out
29,Delhi Capitals,P Simran Singh,12,16,0,1,75.0,c SPD Smith b K Rabada
29,Delhi Capitals,MA Agarwal,99,58,8,4,170.69,not out
29,Delhi Capitals,CH Gayle,13,9,1,1,144.44,b K Rabada
29,Delhi Capitals,DJ Malan,26,26,1,1,100.0,b AR Patel
29,Delhi Capitals,DJ Hooda,1,1,0,0,100.0,run out ()
29,Delhi Capitals,M Shahrukh Khan,4,5,0,0,80.0,c SO Hetmyer b Avesh Khan
29,Delhi Capitals,CJ Jordan,2,3,0,0,66.67,c Lalit Yadav b K Rabada
29,Delhi Capitals,Harpreet Brar,4,2,1,0,200.0,not out
32,Rajasthan Royals,KL Rahul,49,33,4,2,148.48,c Kartik Tyagi b C Sakariya
32,Rajasthan Royals,MA Agarwal,67,43,7,2,155.81,c LS Livingstone b R Tewatia
32,Rajasthan Royals,AK Markram,26,20,2,1,130.0,not out
32,Rajasthan Royals,N Pooran,32,22,1,2,145.45,c SV Samson b Kartik Tyagi
32,Rajasthan Royals,DJ Hooda,0,2,0,0,0.0,c SV Samson b Kartik Tyagi
32,Rajasthan Royals,FA Allen,0,1,0,0,0.0,not out
37,Sunrisers Hyderabad,KL Rahul,21,21,3,0,100.0,c J Suchith b JO Holder
37,Sunrisers Hyderabad,MA Agarwal,5,6,0,0,83.33,c KS Williamson b JO Holder
37,Sunrisers Hyderabad,CH Gayle,14,17,1,0,82.35,lbw b Rashid Khan
37,Sunrisers Hyderabad,AK Markram,27,32,2,0,84.38,c MK Pandey b Abdul Samad
37,Sunrisers Hyderabad,N Pooran,8,4,0,1,200.0,c & b Sandeep Sharma
