innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Punjab Kings,MA Agarwal,4,2,1,0,200.0,c RV Uthappa b Mukesh Choudhary,1
1,Punjab Kings,S Dhawan,33,24,4,1,137.5,c RA Jadeja b DJ Bravo,2
1,Punjab Kings,PBB Rajapaksa,9,5,0,1,180.0,"run out (MS Dhoni, CJ Jordan)",3
1,Punjab Kings,LS Livingstone,60,32,5,5,187.5,c AT Rayudu b RA Jadeja,4
1,Punjab Kings,JM Sharma,26,17,0,3,152.94,c RV Uthappa b D Pretorius,5
1,Punjab Kings,M Shahrukh Khan,6,11,0,0,54.55,c D Pretorius b CJ Jordan,6
1,Punjab Kings,OF Smith,3,7,0,0,42.86,c DJ Bravo b CJ Jordan,7
1,Punjab Kings,K Rabada,12,12,1,0,100.0,not out,8
1,Punjab Kings,RD Chahar,12,8,1,1,150.0,c DJ Bravo b D Pretorius,9
1,Punjab Kings,VG Arora,1,2,0,0,50.0,not out,10
2,Chennai Super Kings,RV Uthappa,13,10,2,0,130.0,c MA Agarwal b VG Arora,1
2,Chennai Super Kings,RD Gaikwad,1,4,0,0,25.0,c S Dhawan b K Rabada,2
2,Chennai Super Kings,MM Ali,0,2,0,0,0.0,b VG Arora,3
2,Chennai Super Kings,AT Rayudu,13,21,2,0,61.9,c JM Sharma b OF Smith,4
2,Chennai Super Kings,RA Jadeja,0,3,0,0,0.0,b Arshdeep Singh,5
2,Chennai Super Kings,S Dube,57,30,6,3,190.0,c Arshdeep Singh b LS Livingstone,6
2,Chennai Super Kings,MS Dhoni,23,28,1,1,82.14,c JM Sharma b RD Chahar,7
2,Chennai Super Kings,DJ Bravo,0,1,0,0,0.0,c & b LS Livingstone,8
2,Chennai Super Kings,D Pretorius,8,4,0,1,200.0,c Arshdeep Singh b RD Chahar,9
2,Chennai Super Kings,CJ Jordan,5,5,0,0,100.0,c LS Livingstone b RD Chahar,10
2,Chennai Super Kings,Mukesh Choudhary,2,2,0,0,100.0,not out,11
