innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Punjab Kings,1,1,MA Agarwal,SN Thakur,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,2,MA Agarwal,SN Thakur,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,3,MA Agarwal,SN Thakur,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,4,MA Agarwal,SN Thakur,S Dhawan,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,5,MA Agarwal,SN Thakur,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,6,S Dhawan,SN Thakur,MA Agarwal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,1.wides,MA Agarwal,KK Ahmed,S Dhawan,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,1,MA Agarwal,KK Ahmed,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,2,S Dhawan,KK Ahmed,MA Agarwal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,3,S Dhawan,KK Ahmed,MA Agarwal,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,4,S Dhawan,KK Ahmed,MA Agarwal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,5,S Dhawan,KK Ahmed,MA Agarwal,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,6,MA Agarwal,KK Ahmed,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,3,1,MA Agarwal,SN Thakur,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,3,2,MA Agarwal,SN Thakur,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,3,3,S Dhawan,SN Thakur,MA Agarwal,0,1,1,legbyes,0,0,0,1,0,False,,,,powerplay
1,Punjab Kings,3,4,MA Agarwal,SN Thakur,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,3,5,MA Agarwal,SN Thakur,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,3,6,MA Agarwal,SN Thakur,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,4,1,S Dhawan,Lalit Yadav,MA Agarwal,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,4,2,S Dhawan,Lalit Yadav,MA Agarwal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,4,3,S Dhawan,Lalit Yadav,MA Agarwal,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,4,4,S Dhawan,Lalit Yadav,MA Agarwal,0,0,0,,0,0,0,0,0,True,caught,S Dhawan,RR Pant,powerplay
1,Punjab Kings,4,5,JM Bairstow,Lalit Yadav,MA Agarwal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,4,6,JM Bairstow,Lalit Yadav,MA Agarwal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,5,1,MA Agarwal,Mustafizur Rahman,JM Bairstow,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,5,2,MA Agarwal,Mustafizur Rahman,JM Bairstow,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,5,3,MA Agarwal,Mustafizur Rahman,JM Bairstow,0,0,0,,0,0,0,0,0,True,bowled,MA Agarwal,,powerplay
1,Punjab Kings,5,4,LS Livingstone,Mustafizur Rahman,JM Bairstow,1,0,1,,0,0,0,0,0,False,,,,powerplay
