innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Rajasthan Royals,1,JC Buttler,3,3,D Padikkal,7,7,11,10
1,Rajasthan Royals,2,R Ashwin,17,9,JC Buttler,5,5,22,14
1,Rajasthan Royals,3,JC Buttler,0,1,SV Samson,0,0,0,1
1,Rajasthan Royals,4,DJ Mitchell,7,11,SV Samson,27,21,35,32
1,Rajasthan Royals,5,R Parag,21,16,DJ Mitchell,9,13,31,29
1,Rajasthan Royals,6,SO Hetmyer,3,7,R Parag,0,0,3,7
1,Rajasthan Royals,7,TA Boult,5,7,R Parag,3,3,8,10
1,Rajasthan Royals,8,M Prasidh Krishna,2,5,R Parag,9,4,11,9
1,Rajasthan Royals,9,R Parag,23,8,YS Chahal,0,0,23,8
2,Royal Challengers Bangalore,1,V Kohli,9,10,F du Plessis,0,0,10,10
2,Royal Challengers Bangalore,2,RM Patidar,2,7,F du Plessis,23,21,27,28
2,Royal Challengers Bangalore,3,GJ Maxwell,0,1,RM Patidar,0,0,0,1
2,Royal Challengers Bangalore,4,Shahbaz Ahmed,6,12,RM Patidar,14,9,21,21
2,Royal Challengers Bangalore,5,Shahbaz Ahmed,4,3,SS Prabhudessai,2,7,8,10
2,Royal Challengers Bangalore,6,KD Karthik,6,4,Shahbaz Ahmed,0,2,6,6
2,Royal Challengers Bangalore,7,Shahbaz Ahmed,7,10,PWH de Silva,9,8,20,18
2,Royal Challengers Bangalore,8,HV Patel,1,1,PWH de Silva,9,5,10,6
2,Royal Challengers Bangalore,9,Mohammed Siraj,5,5,HV Patel,0,1,5,6
2,Royal Challengers Bangalore,10,JR Hazlewood,0,2,HV Patel,7,9,8,11
