innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Gujarat Titans,AS Joseph,4.0,0,35,1,8.75,8,1,0
1,Gujarat Titans,LH Ferguson,4.0,0,52,0,13.0,6,2,0
1,Gujarat Titans,Mohammed Shami,4.0,0,39,3,9.75,14,2,0
1,Gujarat Titans,Rashid Khan,4.0,0,45,0,11.25,2,0,0
1,Gujarat Titans,Yash Dayal,4.0,0,24,1,6.0,8,1,0
2,Sunrisers Hyderabad,B Kumar,4.0,0,33,0,8.25,7,0,0
2,Sunrisers Hyderabad,M Jansen,4.0,0,63,0,15.75,4,2,0
2,Sunrisers Hyderabad,T Natarajan,4.0,0,43,0,10.75,7,1,0
2,Sunrisers Hyderabad,Umran Malik,4.0,0,25,5,6.25,11,1,0
2,Sunrisers Hyderabad,Washington Sundar,4.0,0,34,0,8.5,4,1,0
