innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Gujarat Titans,1,WP Saha,5,11,Shubman Gill,3,5,8,16
1,Gujarat Titans,2,MS Wade,10,7,Shubman Gill,6,3,16,10
1,Gujarat Titans,3,HH Pandya,11,13,Shubman Gill,16,16,27,29
1,Gujarat Titans,4,DA Miller,26,24,Shubman Gill,24,17,52,41
1,Gujarat Titans,5,Shubman Gill,14,8,R Tewatia,22,16,41,24
2,Lucknow Super Giants,1,Q de Kock,11,10,KL Rahul,8,11,19,21
2,Lucknow Super Giants,2,DJ Hooda,4,3,KL Rahul,0,5,5,8
2,Lucknow Super Giants,3,KS Sharma,4,4,DJ Hooda,5,2,9,6
2,Lucknow Super Giants,4,KH Pandya,5,5,DJ Hooda,7,5,12,10
2,Lucknow Super Giants,5,A Badoni,8,11,DJ Hooda,7,9,16,20
2,Lucknow Super Giants,6,MP Stoinis,2,2,DJ Hooda,1,1,4,3
2,Lucknow Super Giants,7,JO Holder,1,2,DJ Hooda,1,2,2,4
2,Lucknow Super Giants,8,DJ Hooda,2,3,Mohsin Khan,1,3,3,6
2,Lucknow Super Giants,9,DJ Hooda,0,1,PVD Chameera,0,0,0,1
2,Lucknow Super Giants,10,Avesh Khan,12,4,PVD Chameera,0,0,12,4
